"clusterN","medianL","medianB","madL","madB","regDL","regDB","medianPmRa","medianPmDec","madPmRa","madPmDec","medianPlx","madPlx","nObj"
1,120.203073804977,1.2625810508979,0.115355221695518,0.104293152095141,0.682080116216,1.16055701717474,2.24223321226613,-0.615135332157913,0.146164821927143,0.143991770567311,0.64800333869772,0.0691763681764035,325
2,120.643066118634,1.52018992815113,0.197281333279138,0.154322362629791,0.860194014659001,0.60328606755766,-2.69069022898948,-0.242018962744394,0.166106462534892,0.170727730842754,0.212500848115981,0.0894583332083659,73
3,120.160333912668,-0.403292998862291,0.102837051407225,0.154235271185532,0.51288042923899,0.513108940336863,-2.36788788519836,0.500150101979201,0.116238778466543,0.136421497368553,0.254544787219164,0.0797446677903086,35
4,121.259441703626,-1.94113588692075,0.185708256700505,0.138671145889354,0.727422243923996,0.6648945954324,-1.55490478818291,0.0479410249816137,0.14294354243312,0.151374108172508,0.187765766611718,0.0954155068223113,175
5,120.310409666001,-2.52559744094151,0.172862084433134,0.135406912836304,0.670232610723005,0.51250231231099,-1.80689998528262,-0.549485036541491,0.163761465027102,0.140859694224488,0.198949336118978,0.078587744662922,79
6,120.738631174651,-0.693045030484102,0.154965536422777,0.18607582219997,0.643971320423006,0.653929833580398,-3.12960201658775,-0.739556816000719,0.14669560175488,0.106000704586202,0.316628689103939,0.0861354894660651,100
7,120.888898821245,-2.21274736172546,0.135322100312868,0.125763581616752,0.573905502661006,0.68349513182855,-1.69748811904475,-0.509497335218502,0.136494237520795,0.123269483661978,0.319991036897673,0.0941380067591027,75
8,120.685689885072,-1.12191690748653,0.134199865208294,0.181110647379291,0.601898464975008,0.676802884418394,-1.62576059641534,-0.281628843103661,0.146513453710049,0.151901243673708,0.196400662905234,0.0854320237988072,127
9,120.318380883759,-2.57231388203032,0.0992264726494441,0.0825410272736836,0.605143702537006,0.4193695622181,-2.56598479028538,-1.07506205213337,0.105099167948705,0.111768461391413,0.506273183948005,0.0550036136728369,322
10,121.080411448935,0.387240034061438,0.116794474288477,0.171906679623252,0.425726104662999,0.677711540716076,-2.32112822338599,-0.49236515453696,0.152742017932753,0.142260630269993,0.263621384299626,0.067808268374845,122
11,121.074438452255,-1.94435259729464,0.15451763376548,0.203482711656975,0.656290700225,0.68644819562827,-2.81843397903178,-0.49619733790582,0.159699090694789,0.171899969617359,0.295132654574712,0.0924827328247564,105
12,122.372712496319,-2.3420602353561,0.113261641960499,0.244971796343199,0.381318395338994,0.70255333364196,-1.20196952597124,-0.229655935143717,0.13227487385357,0.100435413229119,0.175118824238831,0.098550338380538,104
13,120.32742419677,0.296558358288056,0.125298328670326,0.13413777916468,0.607146803562998,0.511663733727882,-2.80826872070826,-0.423002883881506,0.147835116453667,0.100645621946821,0.292114158415762,0.0726217348189878,140
14,120.734598744667,-1.18710668564139,0.147962204817963,0.127381857440245,0.575989884405999,0.59512468112635,-2.54647995677147,0.154525483279101,0.154994634221616,0.132959451244406,0.176080526122314,0.0689501994669925,42
15,121.985952149155,-2.64752763606062,0.0849736609430751,0.0613500163243096,0.645075946300011,0.48889693888866,-4.09128564507207,-0.902069437744238,0.140003119022518,0.105300824195836,0.500844795516164,0.0712188371454158,138
16,122.390573422937,-0.199671550702571,0.116966650803667,0.208628785213394,0.453666420680989,0.745149545471171,-2.2146707222197,-0.317044872558347,0.113349402872721,0.14071514029971,0.216989586536406,0.0952208001040652,75
17,121.461168044966,-0.632643471871302,0.137668640200577,0.144787924609369,0.618155875786002,0.620914033391461,-2.29691830101493,-0.527798945568146,0.152201418437293,0.143985051180896,0.244026966731864,0.0911726560788427,106
18,120.362697181813,1.50206376057936,0.12892052492977,0.227609789348,0.769297106042004,0.69936939288392,-2.16406627236053,-0.270163079979473,0.14935422927935,0.130162373848224,0.192078583746619,0.0852952564571158,79
19,122.082435728838,1.30162114591151,0.0592531699633784,0.0681556889864482,0.580800696127,0.745665250417519,-3.09508927122302,-0.451224354599598,0.117284323537623,0.116487123152084,0.322873039192156,0.0691327615823283,153
20,122.229271237641,1.23101977481988,0.154396003356379,0.151743566585321,0.506157059154006,0.714701019719618,-2.68883800166842,-0.356195548568954,0.159516997442978,0.160276675336244,0.273266446240487,0.0904590585261164,195
21,122.159173851634,0.914015790498786,0.1887661897137,0.187336083569323,0.722540359823995,0.568155293431257,-3.20695174266941,-0.103017173360002,0.169690613603583,0.122671584134849,0.245981101832004,0.078557309158412,52
22,120.687548260054,-2.38063994978064,0.163098806866336,0.173967137949117,0.643959259135002,0.77514130263812,-1.43324734504641,-0.212648599327502,0.13121333408146,0.148651229246661,0.17911374254936,0.0997319858408219,124
23,120.577961396515,0.253839723082221,0.121025256814274,0.150806059916948,0.473634491222001,0.634688173637802,-2.40517032985128,-0.370960891573254,0.129123241320213,0.142027285327632,0.207661614118653,0.0789167317404769,82
