"","X","designation","l","b","ra","dec","mag_j","dj_m","mag_h","dh_m","mag_ks","dks_m","mag3_6","d3_6m","mag4_5","d4_5m","ra_epoch2000","dec_epoch2000","errHalfMaj","errHalfMin","errPosAng","source_id","ra_x","ra_error","dec_x","dec_error","parallax","parallax_error","pmra","pmra_error","pmdec","pmdec_error","duplicated_source","phot_g_mean_flux","phot_g_mean_flux_error","phot_g_mean_mag","phot_bp_mean_flux","phot_bp_mean_flux_error","phot_bp_mean_mag","phot_rp_mean_flux","phot_rp_mean_flux_error","phot_rp_mean_mag","bp_rp","radial_velocity","radial_velocity_error","rv_nb_transits","teff_val","a_g_val","e_bp_min_rp_val","radius_val","lum_val","angDist"
"11",86,"SSTGLMC G190.5286+00.6113",190.52866,0.611356,92.783128,20.123262,15.139,0.041,14.196,0.041,13.817,0.035,13.37,0.04,13.093,0.036,92.7831187584251,20.123254119732,0.005,0.005,90,3374967331055099904,92.78312107942,0.1884,20.12324415191,0.1964,0.9061,0.238,0.506,0.349,-2.315,0.303,"false",1090.52,3.93777,18.09428,291.91,9.15772,19.188267,1330.51,21.5164,16.95188,2.236387,NA,NA,0,NA,NA,NA,NA,NA,0.042198
"12",101,"SSTGLMC G190.2089+00.9384",190.208936,0.938422,92.924764,20.560915,12.013,0.02,11.297,0.024,10.536,0.019,9.409,0.029,8.772,0.031,92.9247621905425,20.5609406979941,0.002,0.001,90,3375019733952065024,92.92475950735,0.0536,20.56093086741,0.0475,0.3437,0.0544,-0.583,0.104,-2.283,0.086,"false",48893.7,50.5336,13.965234,22246.9,95.3774,14.483216,40428.2,59.9392,13.24521,1.238007,NA,NA,0,4916,NA,NA,NA,NA,0.092714
"13",104,"SSTGLMC G190.3099+00.8263",190.309914,0.826375,92.871754,20.418497,14.92,0.041,14.177,0.046,13.702,0.041,12.109,0.049,11.405,0.048,92.8717780767631,20.4185098792872,0.004,0.004,90,3375005023687933440,92.87178040395,0.132,20.41850176653,0.1257,0.6286,0.1579,0.507,0.266,-1.884,0.244,"false",1267.78,29.8867,17.93076,344.575,39.5717,19.008179,1496.91,94.2574,16.823935,2.184244,NA,NA,0,NA,NA,NA,NA,NA,0.093531
"14",108,"SSTGLMC G190.2708+00.8762",190.270797,0.876231,92.898314,20.476773,15.68,0.06,14.528,0.051,14.018,0.055,13.213,0.047,12.677,0.035,92.898414231195,20.4767769547653,0.015,0.013,90,3375005783898312192,92.89841272288,0.466,20.47676422745,0.4421,-0.1208,0.5255,-0.328,0.939,-2.956,0.839,"true",309.037,1.84412,19.463339,54.7878,8.62946,21.004679,543.241,16.2627,17.924438,3.08024,NA,NA,0,NA,NA,NA,NA,NA,0.338332
"15",125,"SSTGLMC G190.2386+00.9207",190.238642,0.920714,92.923439,20.526357,14.297,0.03,12.691,0.029,11.65,0.022,10.06,0.035,9.559,0.037,92.9234491639687,20.5263925389933,0.005,0.004,90,3375019248619694080,92.92344885216,0.1561,20.52638203201,0.1429,0.5869,0.1429,-0.068,0.307,-2.44,0.258,"false",2293.11,12.6427,17.287306,470.64,18.5806,18.669666,3207.19,43.1181,15.996609,2.673058,NA,NA,0,NA,NA,NA,NA,NA,0.13245
"16",126,"SSTGLMC G190.2370+00.9196",190.237056,0.919686,92.921662,20.527253,12.878,0.026,12.3,0.043,11.879,0.025,11.178,0.028,10.763,0.03,92.9216632371872,20.5272854073858,0.002,0.001,90,3375019252915735552,92.92166153354,0.0487,20.5272772665,0.0452,0.4618,0.0474,-0.371,0.1,-1.891,0.085,"false",14997.5,12.7079,15.248316,5209.1,35.6055,16.059483,15096.7,27.1525,14.314713,1.74477,NA,NA,0,4076,NA,NA,4.22,4.421,0.116741
"17",129,"SSTGLMC G190.2332+00.9246",190.233208,0.924689,92.92437,20.533033,13.595,0.021,12.538,0.025,11.738,0.023,10.866,0.025,10.435,0.026,92.9243746512757,20.5330627427042,0.003,0.003,90,3375019248619695616,92.9243726919,0.1105,20.53305226554,0.101,0.6149,0.1085,-0.426,0.222,-2.433,0.193,"false",3669.6,28.7166,16.77682,889.95,25.915,17.977974,4536.65,19.6618,15.620082,2.357892,NA,NA,0,3663.68,2.78,1.3398,NA,NA,0.108216
"18",133,"SSTGLMC G190.0581+00.5442",190.058159,0.544208,92.478346,20.502947,15.409,0.047,14.123,0.036,13.332,0.038,12.026,0.071,11.403,0.045,92.4783783480427,20.502965272668,0.014,0.013,90,3375202527758414848,92.47838146856,0.3997,20.50295160065,0.392,0.4288,0.4705,0.679,0.929,-3.175,0.835,"false",493.141,11.4028,18.955938,844.999,47.572,18.034248,1302.17,69.3004,16.97525,1.058998,NA,NA,0,NA,NA,NA,NA,NA,0.127377
"19",135,"SSTGLMC G190.0751+00.5198",190.075165,0.519833,92.46434,20.476279,15.222,0.06,13.912,0.045,13.022,0.036,11.119,0.031,10.256,0.026,92.464355812395,20.4762986588741,0.009,0.007,90,3375202042428723200,92.46435381496,0.3075,20.47629002933,0.296,0.5745,0.3321,-0.435,0.55,-2.004,0.473,"false",609.465,4.53644,18.725994,395.098,18.0913,18.859627,1163.45,22.9116,17.097553,1.762074,NA,NA,0,NA,NA,NA,NA,NA,0.088615
"20",141,"SSTGLMC G190.1357+00.7393",190.135744,0.739372,92.700827,20.52921,14.985,0.048,13.928,0.051,13.083,0.036,12.001,0.042,11.465,0.033,92.7008135182143,20.5292459895351,0.006,0.005,90,3375021589377992704,92.70081285592,0.183,20.52923709982,0.1673,0.3465,0.1802,-0.144,0.38,-2.065,0.335,"false",1151.14,14.0357,18.035545,414.668,27.2475,18.807137,1403.85,43.6092,16.893618,1.913519,NA,NA,0,NA,NA,NA,NA,NA,0.137304
