"","medianL","medianB","medianra","mediandec","madL","madB","regDL","regDB","medianPmRa","medianPmDec","madPmRa","madPmDec","medianPlx","madPlx","nObj"
"1",122.661975,0.996847,12.240993,63.867722,0.0698971770000006,0.0368426100000001,0.198453000000001,0.393972,-2.843,-0.456,0.1571556,0.0711648000000001,0.2967,0.04551582,5
"2",120.3214455,2.200182,6.7080345,64.946393,0.0330004520999993,0.1974311703,0.329492999999999,0.38995,-2.934,-0.596,0.2690919,0.2023749,0.29285,0.16946118,8
"3",120.626722,0.578633,7.709111,63.354789,0.242219775000003,0.5058838764,0.791349000000011,1.52305,-2.812,-0.561,0.1823598,0.2639028,0.3165,0.10096506,17
"4",121.557309,0.468375,9.830029,63.304139,0.100469871600009,0.4491373614,0.388121999999996,0.893963,-2.975,-0.76,0.1719816,0.1304688,0.3268,0.08035692,7
"5",122.09463,1.451631,10.937923,64.308718,0.155638900199987,0.2571762438,0.236628999999994,0.82043,-2.972,-0.629,0.2045988,0.1171254,0.3288,0.04121628,5
"6",124.97173,0.5799875,17.3935715,63.3840565,0.0639378663000032,0.2337711789,0.266245000000012,0.729669,0.118,-0.3605,0.0681996,0.2157183,0.2041,0.23261994,6
"7",124.273487,1.145871,15.910312,63.9878915,0.209205238200008,0.2440900749,0.366993000000008,0.931783,-1.5695,0.0765,0.2839179,0.1586382,0.1946,0.07346283,6
"8",125.550011,2.0181375,18.998507,64.759556,0.518916671700017,0.3701481399,2.40062,1.124828,-1.3915,0.1285,0.185325,0.1638273,0.12955,0.15997254,26
"9",141.069612,1.478525,50.030176,58.82834,0.57520580459999,0.45486168,1.45597700000002,1.451509,-0.073,-0.015,0.2179422,0.681996,0.091,0.10763676,19
"10",128.276064,0.7288765,24.8768535,63.121698,0.248910748799965,0.9575557425,1.10138100000002,2.164847,-0.924,-0.4265,0.5922987,0.5982291,0.24015,0.20593314,22
"11",130.035364,-0.175347,28.055171,61.855361,0.0133760171999814,0.0357632772,0.107107000000013,0.338197,-1.419,1.04,0.0518909999999999,0.1171254,0.2705,0.18043242,7
"12",130.1362225,1.2868975,29.19133,63.216154,0.237087755100003,0.3062821797,0.818511000000001,1.451827,-0.8465,-0.5675,0.4210584,0.3306198,0.16755,0.26872125,14
"13",132.461578,0.633411,33.514426,62.044183,0.208017675600014,0.0488190527999999,0.606037999999984,0.616708,-0.78,-0.846,0.392889,0.5678358,0.153,0.29844738,7
"14",133.125347,0.238058,34.598135,61.332776,0.157616688600008,0.3321350172,0.505711000000019,0.592245,-0.676,-0.595,0.2905896,0.2031162,0.3798,0.2868831,5
"15",132.567013,1.703575,34.443407,62.948941,0.254428986000023,0.2113238736,0.717050999999998,0.381125,-1.213,-0.487,0.489258,1.2794838,0.2377,0.20622966,9
