"","medianL","medianB","medianra","mediandec","madL","madB","regDL","regDB","medianPmRa","medianPmDec","madPmRa","madPmDec","medianPlx","madPlx","nObj"
"16",139.347402,1.979256,47.742054,60.336778,0.229141760399986,0.1567968108,0.380989,0.405247,0.01,0.171,0.1897728,0.2653854,0.1311,0.32231724,5
"17",133.8375415,1.1768155,36.6177015,62.017079,0.0337321152000377,0.0662003139000001,0.380319999999983,0.299733,-0.776,-0.73,0.2438877,0.4158693,0.46395,0.33351087,36
"18",134.0489555,0.844028,36.794857,61.6341735,0.0422941301999953,0.0438960795,0.116668000000004,0.119484,-0.6495,-0.726,0.1690164,0.5018601,0.42365,0.14203308,8
"19",134.302444,0.863383,37.294929,61.557063,0.0623655690000119,0.0823702908,0.160113999999993,0.190175,-0.898,-0.971,0.3217242,0.4062324,0.2653,0.15389388,9
"20",134.800561,1.3174,38.648295,61.783735,0.0211848714000286,0.0575990099999997,0.060102999999998,0.10895,-0.652,-0.464,0.1971858,0.1245384,0.3508,0.2357334,9
"21",134.739531,0.992914,38.240654,61.511195,0.0651736134000014,0.0795622464000001,0.426366000000002,0.400305,-0.746,-0.78,0.1156428,0.3498936,0.4484,0.07902258,37
"22",135.905191,0.554842,40.194745,60.72091,0.169756217399993,0.2780038086,0.860499000000004,0.964755,-0.565,-0.411,0.2950374,0.3617544,0.4344,0.14781522,21
"23",137.4030035,0.6836195,42.970288,60.126968,0.029684617199996,0.0159297957,0.0736960000000124,0.135058,-0.1945,-0.8955,0.1957032,0.1645686,0.4645,0.10341135,8
"24",137.55562,1.015828,43.537479,60.37169,0.0125250047999809,0.0445106172,0.0709270000000117,0.0869250000000001,-0.207,-0.189,0.126021,0.415128,0.487,0.3017091,5
"25",137.202349,0.896553,42.806168,60.396741,0.0499932719999825,0.0274607171999999,0.159623000000011,0.124467,-0.274,-0.217,0.118608,0.214977,0.4422,0.17850504,21
"26",137.159249,1.073533,42.892606,60.582756,0.0177867521999698,0.0290337558000002,0.0855290000000082,0.051072,-0.354,-0.224,0.0681996000000001,0.340998,0.4663,0.13328574,7
"27",137.31838,1.135525,43.236608,60.580487,0.0146970138000172,0.0133849127999997,0.0498650000000112,0.042381,-0.327,-0.451,0.274281,0.051891,0.478,0.0947381400000001,5
"28",137.409781,1.287219,43.532406,60.659633,0.0256163628000068,0.0253524599999998,0.0914410000000032,0.156289,-0.173,-0.317,0.1690164,0.3054156,0.4184,0.13995744,17
"29",138.143331,1.671389,45.214978,60.661849,0.00614982479997998,0.00583106579999995,0.0751780000000224,0.0546359999999999,0.005,0.188,0.3291372,0.415128,0.4819,0.12186972,9
"30",137.774385,1.4856805,44.3656555,60.6778425,0.0444009048000067,0.0373014747,0.115553000000006,0.132814,-0.233,0.0785,0.1667925,0.5174274,0.4225,0.09125403,8
"31",138.022864,1.4606,44.816535,60.540202,0.0634419365999911,0.0287535443999999,0.250772000000012,0.113886,-0.199,0.012,0.1734642,0.3439632,0.4398,0.17168508,43
"32",138.228483,1.540253,45.26195,60.491566,0.0338462754000023,0.0372043643999999,0.100525000000005,0.113647,-0.151,-0.197,0.1942206,0.5307708,0.4224,0.14129178,15
"33",138.490046,1.598378,45.8368,60.435042,0.0513127860000221,0.0610505028000002,0.194739999999996,0.134453,-0.19,-0.298,0.0830256,0.5218752,0.4164,0.22698606,7
"34",139.385119,0.85915,46.798117,59.225824,0.392748152999998,0.2108094114,0.626587999999998,0.340967,-0.25,-0.462,0.1097124,0.5796966,0.1233,0.22565172,5
"35",140.42763,0.060431,47.573083,58.131355,0.376577434799994,0.0932896398,0.760754999999989,0.396553,-0.318,-0.491,0.133434,0.726474,0.4043,0.21557004,5
"36",143.606511,1.2076195,53.3392035,57.3687635,0.470291098200015,0.7428767451,2.013138,2.747345,-0.1655,-0.2215,0.1793946,0.7020111,0.2002,0.21660786,30
"37",148.293995,-0.481628,58.394823,53.163423,0.128600723999988,0.2482658178,0.476231000000013,0.56035,-0.397,-1.607,0.2713158,0.1541904,0.8084,0.17731896,7
"38",149.2099795,-0.5797975,59.4035095,52.5145255,0.187826146199985,0.1145731041,0.679074999999983,0.629145,-0.25,-1.333,0.1245384,0.103782,0.8707,0.02690919,8
"39",151.641337,1.625611,64.8689,52.536394,0.372830904599972,0.1227637278,1.25295699999998,0.708661,-0.42,-1.685,0.7576086,0.5129796,0.222,0.1452948,15
"40",150.965136,0.524485,62.948216,52.160272,0.0386143169999945,0.0448382718,0.226961999999986,0.387058,-0.0825,-1.532,0.0229803,0.3454458,0.1619,0.15307845,6
"41",150.773486,-0.5972475,61.414866,51.462163,0.0586101432000124,0.0276089772,0.247003000000007,0.378647,-0.356,-1.4485,0.1882902,0.2053401,0.33655,0.08465646,28
"42",151.121581,-0.485433,61.904357,51.305147,0.0387699900000018,0.0265340922,0.105423999999999,0.053639,-0.487,-1.5,0.0489258,0.0400301999999999,0.2354,0.04699842,5
"43",151.638591,-0.235319,62.786017,51.157475,0.0552817061999882,0.1657680234,0.436472000000009,0.48188,-1.567,-1.324,1.6204818,0.985929,0.6815,0.51609306,9
"44",153.1159465,0.1948415,65.003477,50.5596085,0.286694809799991,0.5418717675,1.375485,1.091303,-0.3265,-1.687,0.615279,0.4217997,0.4073,0.21438396,16
"45",155.666301,0.157078,67.815533,48.558277,0.358915221000004,0.3500952336,1.144586,1.55773,-0.024,-1.97,0.1690164,0.2431464,0.3898,0.1816185,27
"46",157.628175,0.531789,70.004136,47.364321,0.288927605400021,0.2627448894,1.59794000000002,2.014714,-0.157,-1.798,0.274281,0.7205436,0.3236,0.27072276,27
"47",159.895344,0.979819,72.77528,46.046785,0.425698938000028,0.4545028908,1.32980800000001,1.267989,-0.13,-1.757,0.3810282,0.207564,0.1817,0.26360628,13
"48",162.001616,0.493444,74.069441,43.978038,0.23654141699997,0.5051129244,1.103746,1.14188,-0.015,-1.854,0.4091976,0.5574576,0.4648,0.27250188,9
"49",166.547446,0.0120135,76.954159,40.25162,0.344640748199995,1.2500927376,1.47616699999998,2.530861,0.7125,-2.8405,0.1660512,0.1882902,0.4114,0.14247786,8
"50",170.6294845,-0.1907405,80.1443475,36.7034215,0.239818704299997,0.2541813918,1.01241199999998,0.858322,0.358,-2.65,0.4329192,0.2134944,0.44485,0.34418559,22
"51",174.635647,1.271914,84.344397,34.162104,0.150359361600001,0.1958395992,0.429604000000012,0.334961,0.271,-2.656,0.3513762,0.118608,0.3654,0.2839179,5
"52",171.838993,-0.930189,80.179875,35.162934,0.107300209799998,0.0689572086000001,0.309331000000014,0.303903,0.249,-2.49,0.3765804,0.1957032,0.1021,0.2535246,5
"53",172.853497,-0.121311,81.747505,34.895511,0.0727215299999912,0.0396017286,0.123696999999993,0.104206,-0.058,-2.238,0.2283204,0.3914064,0.3517,0.02045988,5
"54",173.035825,-0.165786,81.831008,34.718431,0.0109341749999943,0.0169268442,0.0588000000000193,0.058906,0.008,-2.189,0.29652,0.2772462,0.4723,0.15211476,5
"55",173.215255,-0.209831,81.904691,34.501177,0.0447789678000003,0.0700039242,0.120925,0.224564,-0.128,-2.273,0.1541904,0.189772799999999,0.4375,0.1304688,15
"56",173.380877,-0.187381,82.036384,34.41721,0.0384275093999816,0.0249210234,0.190248999999994,0.203553,0.217,-2.485,0.2431464,0.1586382,0.4279,0.10037202,27
"57",173.93024,0.25786,82.8472675,34.225251,0.0326913299999897,0.0424816791,0.176729999999992,0.268525,0.098,-2.118,0.1386231,0.111195,0.245,0.26701626,8
"58",177.869945,0.8621,86.015949,31.257396,0.153398691599996,0.2369543211,0.334246000000007,0.44982,0.193,-2.454,0.2320269,0.3424806,0.4925,0.10348548,6
"59",176.4804575,-0.159679,83.950272,32.017756,0.381536731800009,0.2616774174,1.10281099999997,1.002961,0.2045,-2.448,0.4381083,0.1838424,0.50005,0.25241265,16
"60",177.6389305,-0.301476,84.704664,30.7357045,0.0915038480999967,0.1062231009,1.64123899999998,0.608247,-0.165,-2.536,0.7279566,0.2290617,0.4503,0.16731141,20
"61",178.6766045,1.153517,86.7384155,30.597966,0.185567405099999,0.113752485,0.581806,0.840675,0.0275,-2.441,0.6753243,0.3995607,0.4014,0.11623584,8
"62",181.0597105,0.2398415,86.9636085,27.992204,0.657395959500009,0.571460757,2.07267899999999,1.903278,0.005,-2.3975,0.3343263,0.3669435,0.36865,0.12149907,18
"63",197.4550565,-0.011865,95.5403175,13.6144695,0.4946146338,0.3768806265,1.377072,1.132497,0.4085,-2.7245,0.4240236,0.3298785,0.43035,0.43692222,12
"64",195.304288,0.479381,95.068014,15.837257,0.228975709199983,0.16078797,0.635072000000008,0.3968,0.121,-2.503,0.378063,0.3246894,0.188,0.1452948,7
"65",195.306812,-1.351456,93.35948,15.197473,0.497357443800006,0.2065454538,1.256326,1.707537,0.415,-2.567,0.9177294,0.526323,0.3527,0.13980918,13
"66",192.877002,0.068175,93.4908715,17.7617275,0.269985907800018,0.1453400193,0.694086999999996,0.489364,-0.2735,-2.0705,0.2305443,0.2320269,0.10375,0.14314503,6
"67",191.940095,0.815836,93.716743,18.982835,0.167613860399966,0.074619258,0.545826000000005,0.732256,0.205,-2.333,0.6390006,0.385476,0.0867,0.3076395,9
"68",188.008768,0.135389,90.916512,22.144191,0.241792786199985,1.0463493978,1.30775199999999,2.203544,0.462,-2.513,0.5885922,0.6805134,0.3196,0.25515546,19
"69",191.421919,-0.136286,92.464365,18.989561,0.0886372410000075,0.0288617742,0.21835200000001,0.323148,0.936,-2.94,0.407715,1.0111332,-0.0544,0.4403322,5
"70",190.913775,0.401728,92.78065,19.741204,0.00558495420001558,0.1801774128,0.151360000000011,0.257328,0.404,-2.26,0.2905896,0.555975,0.6103,0.1438122,5
"71",190.152566,1.029507,92.962124,20.663112,0.0416781098999705,0.0382199453999997,0.248717999999997,0.235414,-0.327,-2.4315,0.3847347,0.1964445,0.53015,0.19384995,18
"72",190.146825,0.719592,92.670867,20.490576,0.0334296648000007,0.0381309893999999,0.200183999999979,0.0933499999999999,0.184,-3.022,0.8020866,0.4655364,0.5032,0.47235636,7
"73",189.894163,0.495406,92.350619,20.619724,0.0712418951999766,0.045560298,0.378600000000006,0.494195,0.265,-2.631,0.5426316,0.4981536,0.4222,0.19184844,41
"74",189.011217,0.795336,92.18945,21.504944,0.114370729200014,0.1088851092,0.690618999999998,0.635697,0.36,-2.472,0.5989704,0.5396664,0.4676,0.20044752,21
