#medianL medianB  madL  madB  regDL  regDB  medianPmRa  madPmRa  medianPmDec  madPmDec  medianPlx madPlx nObj possibleName tileEdge tileRA tileDEC known unknown
127.257 0.156 0.099 0.07 0.473 0.458 -1.602 0.085 -0.261 0.094 0.327 0.019 65 unknown 0.5 127.0 0.0 False True
127.195 0.746 0.031 0.027 0.386 0.351 -4.266 0.047 0.272 0.055 0.338 0.022 156 NGC_559 0.5 127.0 0.5 True False
127.294 9.296 0.09 0.091 0.491 0.498 -1.749 0.086 -0.285 0.082 1.134 0.023 90 Collinder_463 0.5 127.0 9.0 True False
127.342 9.627 0.12 0.086 0.487 0.335 -1.702 0.086 -0.26 0.103 1.139 0.021 29 Collinder_463 0.5 127.0 9.5 True False
127.756 -2.22 0.108 0.118 0.496 0.488 -1.353 0.197 -0.484 0.11 0.374 0.042 108 unknown 0.5 127.5 -2.5 False True
127.827 -1.246 0.114 0.112 0.487 0.492 -1.456 0.132 -0.459 0.09 0.35 0.025 89 unknown 0.5 127.5 -1.5 False True
127.774 -0.759 0.145 0.139 0.488 0.492 -1.523 0.144 -0.389 0.072 0.345 0.028 89 unknown 0.5 127.5 -1.0 False True
127.669 -0.202 0.107 0.109 0.497 0.494 -1.552 0.151 -0.269 0.109 0.348 0.027 101 unknown 0.5 127.5 -0.5 False True
127.843 0.318 0.119 0.151 0.458 0.491 -1.456 0.085 -0.203 0.07 0.347 0.033 46 unknown 0.5 127.5 0.0 False True
127.654 9.282 0.102 0.111 0.491 0.49 -1.708 0.079 -0.274 0.107 1.141 0.044 64 Collinder_463 0.5 127.5 9.0 True False
128.15 -2.674 0.054 0.037 0.306 0.356 -0.734 0.036 -0.76 0.045 0.401 0.022 30 UBC41,Per_OB1 0.5 128.0 -3.0 True False
128.074 -1.794 0.045 0.043 0.495 0.477 -1.372 0.055 -0.512 0.062 0.365 0.027 157 NGC_581 0.5 128.0 -2.0 True False
128.218 -1.135 0.034 0.039 0.499 0.485 -1.626 0.063 -0.528 0.086 0.359 0.03 123 Trumpler_1 0.5 128.0 -1.5 True False
128.244 -1.256 0.135 0.144 0.479 0.495 -1.221 0.129 -0.341 0.125 0.351 0.035 91 unknown 0.5 128.0 -1.5 False True
128.235 -0.789 0.125 0.124 0.489 0.493 -1.392 0.111 -0.376 0.098 0.343 0.033 85 unknown 0.5 128.0 -1.0 False True
