#medianL medianB  madL  madB  regDL  regDB  medianPmRa  madPmRa  medianPmDec  madPmDec  medianPlx madPlx nObj possibleName tileEdge tileRA tileDEC known unknown
130.474 -4.296 0.051 0.04 0.196 0.188 -0.859 0.13 0.269 0.204 0.314 0.209 75 unknown 0.2 130.4 -4.4 False True
130.5 -2.891 0.054 0.038 0.195 0.183 -0.76 0.148 -0.319 0.113 0.278 0.08 78 unknown 0.2 130.4 -3.0 False True
130.508 -1.114 0.046 0.053 0.195 0.192 -1.101 0.155 -0.396 0.109 0.256 0.091 59 unknown 0.2 130.4 -1.2 False True
130.499 -0.872 0.053 0.048 0.184 0.197 -1.028 0.153 -0.329 0.092 0.314 0.048 55 unknown 0.2 130.4 -1.0 False True
130.552 -0.561 0.014 0.013 0.175 0.195 -2.036 0.06 0.431 0.104 0.232 0.048 71 Czernik_5 0.2 130.4 -0.6 True False
130.55 1.949 0.02 0.022 0.181 0.199 -4.88 0.091 -0.122 0.084 0.64 0.028 40 Gulliver_51 0.2 130.4 1.8 True False
130.759 -3.302 0.022 0.033 0.182 0.195 -2.38 0.094 -0.455 0.104 0.274 0.045 59 COIN-Gaia_6 0.2 130.6 -3.4 True False
130.705 -1.1 0.043 0.048 0.192 0.196 -1.023 0.113 -0.46 0.119 0.345 0.06 60 unknown 0.2 130.6 -1.2 False True
130.685 -0.891 0.04 0.052 0.198 0.199 -0.986 0.136 -0.365 0.219 0.294 0.11 72 unknown 0.2 130.6 -1.0 False True
130.697 -0.302 0.053 0.043 0.199 0.197 -1.004 0.148 -0.243 0.178 0.242 0.08 85 unknown 0.2 130.6 -0.4 False True
130.691 -0.109 0.052 0.055 0.195 0.194 -1.032 0.094 -0.363 0.209 0.268 0.069 85 unknown 0.2 130.6 -0.2 False True
130.722 2.676 0.034 0.038 0.185 0.195 -0.722 0.101 -2.077 0.081 1.017 0.031 34 Stock_5 0.2 130.6 2.6 True False
130.833 -3.294 0.015 0.027 0.177 0.179 -2.375 0.078 -0.424 0.111 0.284 0.048 75 COIN-Gaia_6 0.2 130.8 -3.4 True False
130.906 -0.893 0.037 0.044 0.2 0.191 -1.062 0.209 -0.395 0.18 0.356 0.077 63 unknown 0.2 130.8 -1.0 False True
130.881 -0.303 0.048 0.047 0.199 0.199 -1.109 0.167 -0.082 0.119 0.234 0.101 100 unknown 0.2 130.8 -0.4 False True
130.902 -0.106 0.056 0.054 0.193 0.193 -1.083 0.215 -0.244 0.207 0.263 0.086 125 unknown 0.2 130.8 -0.2 False True
130.9 1.077 0.037 0.034 0.197 0.2 -1.148 0.097 -0.152 0.118 0.315 0.072 103 Czernik_6 0.2 130.8 1.0 True False
131.104 -4.88 0.042 0.046 0.186 0.197 -1.103 0.142 0.338 0.142 0.355 0.283 77 unknown 0.2 131.0 -5.0 False True
131.127 -0.278 0.044 0.04 0.199 0.197 -1.306 0.094 -0.106 0.156 0.207 0.086 105 COIN-Gaia_33 0.2 131.0 -0.4 True False
131.105 0.107 0.053 0.05 0.2 0.198 -1.167 0.234 -0.107 0.21 0.286 0.092 112 unknown 0.2 131.0 -0.0 False True
131.483 -1.469 0.032 0.028 0.186 0.189 -1.624 0.07 -0.349 0.131 0.259 0.046 62 unknown 0.2 131.4 -1.6 False True
131.516 -1.281 0.046 0.043 0.2 0.189 -0.914 0.172 -0.386 0.087 0.303 0.071 64 unknown 0.2 131.4 -1.4 False True
131.479 -1.125 0.047 0.037 0.195 0.183 -0.934 0.081 -0.34 0.192 0.318 0.054 48 unknown 0.2 131.4 -1.2 False True
131.462 0.646 0.041 0.029 0.193 0.187 -0.711 0.12 -0.341 0.169 0.204 0.085 85 SAI_16 0.2 131.4 0.6 True False
131.712 -1.28 0.053 0.043 0.19 0.187 -0.855 0.089 -0.302 0.152 0.321 0.077 63 unknown 0.2 131.6 -1.4 False True
131.888 -1.308 0.045 0.042 0.197 0.197 -0.797 0.123 -0.443 0.232 0.299 0.105 83 unknown 0.2 131.8 -1.4 False True
131.91 -1.11 0.058 0.038 0.197 0.18 -0.849 0.125 -0.471 0.11 0.292 0.099 46 unknown 0.2 131.8 -1.2 False True
131.967 4.621 0.019 0.013 0.196 0.197 -0.499 0.058 0.988 0.071 0.17 0.056 53 unknown 0.2 131.8 4.6 False True
132.085 -1.494 0.037 0.048 0.198 0.197 -0.917 0.195 -0.587 0.209 0.313 0.09 73 unknown 0.2 132.0 -1.6 False True
132.11 -1.094 0.046 0.048 0.198 0.195 -0.905 0.218 -0.386 0.177 0.288 0.096 79 unknown 0.2 132.0 -1.2 False True
132.084 5.335 0.032 0.031 0.197 0.193 -1.269 0.114 0.662 0.119 0.29 0.048 69 unknown 0.2 132.0 5.2 False True
132.328 -6.277 0.037 0.04 0.189 0.192 -1.893 0.206 -1.72 0.207 0.63 0.182 51 NGC_744 0.2 132.2 -6.4 True False
132.244 -1.239 0.027 0.018 0.193 0.197 -0.788 0.099 -0.497 0.109 0.342 0.055 85 Riddle_4 0.2 132.2 -1.4 True False
132.283 -1.084 0.043 0.051 0.188 0.197 -0.837 0.215 -0.453 0.157 0.276 0.077 73 unknown 0.2 132.2 -1.2 False True
132.47 -6.134 0.034 0.038 0.195 0.188 -1.877 0.129 -1.733 0.115 0.707 0.044 75 NGC_744 0.2 132.4 -6.2 True False
132.529 0.124 0.038 0.031 0.172 0.182 -0.084 0.085 -0.765 0.09 0.376 0.046 40 unknown 0.2 132.4 -0.0 False True
132.494 2.492 0.029 0.022 0.191 0.194 -0.994 0.08 0.231 0.119 0.179 0.052 100 Berkeley_63 0.2 132.4 2.4 True False
132.905 2.705 0.037 0.027 0.186 0.175 3.176 0.088 -3.978 0.097 0.944 0.038 38 NGC_886 0.2 132.8 2.6 True False
133.292 -1.502 0.037 0.058 0.197 0.196 -0.925 0.155 -0.416 0.148 0.308 0.075 75 unknown 0.2 133.2 -1.6 False True
133.319 2.704 0.052 0.053 0.189 0.194 -0.754 0.188 0.218 0.199 0.185 0.102 71 unknown 0.2 133.2 2.6 False True
133.687 -2.655 0.037 0.023 0.182 0.192 -1.011 0.125 -1.533 0.075 0.636 0.048 41 COIN-Gaia_7 0.2 133.6 -2.8 True False
133.697 -1.925 0.043 0.045 0.196 0.198 -0.857 0.252 -0.613 0.209 0.349 0.094 108 unknown 0.2 133.6 -2.0 False True
133.697 -1.521 0.061 0.055 0.198 0.194 -1.082 0.137 -0.534 0.09 0.334 0.075 62 unknown 0.2 133.6 -1.6 False True
133.685 -0.924 0.053 0.045 0.198 0.196 -0.645 0.176 -0.475 0.21 0.322 0.101 89 unknown 0.2 133.6 -1.0 False True
133.899 -2.113 0.062 0.047 0.198 0.196 -0.892 0.202 -0.552 0.192 0.337 0.082 120 unknown 0.2 133.8 -2.2 False True
134.126 -3.708 0.05 0.044 0.198 0.196 -0.823 0.197 -1.134 0.132 0.367 0.061 67 UBC46,Per_OB1 0.2 134.0 -3.8 True False
134.112 -2.077 0.043 0.051 0.191 0.187 -0.882 0.113 -0.653 0.079 0.354 0.056 65 Per_OB1 0.2 134.0 -2.2 True False
134.118 -1.899 0.059 0.048 0.197 0.193 -0.793 0.177 -0.595 0.133 0.353 0.09 70 unknown 0.2 134.0 -2.0 False True
134.089 -1.498 0.056 0.041 0.193 0.192 -0.7 0.216 -0.499 0.175 0.335 0.077 76 unknown 0.2 134.0 -1.6 False True
134.317 -3.889 0.052 0.05 0.198 0.197 -0.75 0.173 -1.086 0.111 0.379 0.048 84 Per_OB1 0.2 134.2 -4.0 True False
134.308 -3.701 0.049 0.052 0.194 0.198 -0.746 0.1 -1.052 0.147 0.383 0.047 100 Per_OB1 0.2 134.2 -3.8 True False
134.332 -3.522 0.043 0.041 0.191 0.196 -0.817 0.13 -1.031 0.112 0.381 0.042 62 Per_OB1 0.2 134.2 -3.6 True False
134.301 -2.644 0.034 0.032 0.198 0.198 -0.471 0.125 -0.799 0.153 0.427 0.06 131 Basel_10,Per_OB1 0.2 134.2 -2.8 True False
134.314 -2.689 0.068 0.041 0.193 0.195 -0.881 0.182 -0.85 0.272 0.348 0.102 27 Per_OB1 0.2 134.2 -2.8 True False
134.22 1.08 0.013 0.021 0.192 0.199 -1.026 0.094 -0.179 0.103 0.263 0.071 114 Tombaugh_4 0.2 134.2 1.0 True False
134.507 -4.091 0.046 0.045 0.194 0.197 -0.621 0.235 -1.172 0.173 0.363 0.062 120 Per_OB1 0.2 134.4 -4.2 True False
134.52 -3.886 0.048 0.052 0.197 0.197 -0.678 0.078 -1.118 0.077 0.397 0.048 159 NGC_869,Per_OB1 0.2 134.4 -4.0 True False
134.539 -3.701 0.033 0.022 0.195 0.13 -0.974 0.02 -0.913 0.078 0.361 0.049 18 NGC_869,Per_OB1 0.2 134.4 -3.8 True False
134.522 -3.708 0.039 0.046 0.197 0.182 -0.679 0.08 -0.766 0.094 0.372 0.064 62 NGC_869,Per_OB1 0.2 134.4 -3.8 True False
134.536 -3.71 0.037 0.041 0.195 0.199 -0.707 0.091 -1.103 0.087 0.394 0.038 285 NGC_869,Per_OB1 0.2 134.4 -3.8 True False
134.52 -3.517 0.041 0.057 0.192 0.2 -0.659 0.083 -1.034 0.081 0.377 0.045 76 NGC_869,Per_OB1 0.2 134.4 -3.6 True False
134.48 -3.308 0.049 0.046 0.198 0.195 -0.709 0.109 -0.968 0.176 0.355 0.067 70 Per_OB1 0.2 134.4 -3.4 True False
134.479 -0.725 0.046 0.038 0.189 0.195 -0.984 0.114 -0.518 0.145 0.379 0.08 63 COIN-Gaia_36 0.2 134.4 -0.8 True False
134.529 0.681 0.046 0.032 0.183 0.197 -1.092 0.095 -0.131 0.157 0.371 0.072 56 unknown 0.2 134.4 0.6 False True
134.684 -4.278 0.053 0.032 0.198 0.197 -0.636 0.122 -1.212 0.175 0.35 0.068 78 Per_OB1 0.2 134.6 -4.4 True False
134.69 -4.081 0.049 0.052 0.19 0.198 -0.61 0.134 -1.175 0.088 0.363 0.053 88 Per_OB1 0.2 134.6 -4.2 True False
134.695 -3.854 0.049 0.037 0.196 0.198 -0.679 0.082 -1.083 0.096 0.391 0.041 154 NGC_869,Per_OB1 0.2 134.6 -4.0 True False
134.698 -3.716 0.044 0.032 0.198 0.166 -0.378 0.03 -0.885 0.049 0.41 0.095 25 NGC_869,Per_OB1 0.2 134.6 -3.8 True False
134.665 -3.697 0.034 0.037 0.197 0.198 -0.478 0.082 -0.986 0.132 0.41 0.04 40 NGC_869,Per_OB1 0.2 134.6 -3.8 True False
134.663 -3.724 0.04 0.034 0.198 0.198 -0.701 0.086 -1.082 0.101 0.393 0.034 381 NGC_869,Per_OB1 0.2 134.6 -3.8 True False
134.657 -3.709 0.026 0.032 0.147 0.177 -0.74 0.044 -0.778 0.044 0.396 0.074 34 NGC_869,Per_OB1 0.2 134.6 -3.8 True False
134.708 -3.511 0.05 0.05 0.197 0.193 -0.699 0.132 -1.085 0.14 0.376 0.039 125 NGC_869,Per_OB1 0.2 134.6 -3.6 True False
134.698 -3.315 0.055 0.048 0.2 0.199 -0.659 0.177 -1.046 0.25 0.372 0.076 104 Per_OB1 0.2 134.6 -3.4 True False
134.708 -1.895 0.047 0.054 0.195 0.194 -0.54 0.177 -0.569 0.161 0.299 0.104 81 unknown 0.2 134.6 -2.0 False True
134.733 -0.483 0.026 0.026 0.174 0.185 -1.196 0.086 -0.654 0.128 0.218 0.062 57 unknown 0.2 134.6 -0.6 False True
134.683 0.089 0.022 0.038 0.173 0.155 -3.459 0.112 0.534 0.101 1.446 0.033 26 Stock_7 0.2 134.6 -0.0 True False
134.731 0.935 0.035 0.028 0.194 0.176 -0.724 0.059 -0.733 0.086 0.434 0.031 77 IC_1805,Per_OB1 0.2 134.6 0.8 True False
134.909 -4.086 0.053 0.055 0.2 0.197 -0.628 0.213 -1.189 0.164 0.369 0.069 96 Per_OB1 0.2 134.8 -4.2 True False
134.904 -3.891 0.045 0.046 0.197 0.196 -0.607 0.163 -1.056 0.119 0.386 0.066 140 Per_OB1 0.2 134.8 -4.0 True False
134.918 -3.68 0.051 0.046 0.195 0.197 -0.658 0.094 -1.084 0.093 0.401 0.039 216 NGC_884,Per_OB1 0.2 134.8 -3.8 True False
134.936 -3.5 0.043 0.051 0.198 0.195 -0.636 0.152 -0.748 0.115 0.347 0.074 32 NGC_884,Per_OB1 0.2 134.8 -3.6 True False
134.931 -3.52 0.041 0.043 0.199 0.198 -0.615 0.123 -1.082 0.089 0.4 0.04 236 NGC_884,Per_OB1 0.2 134.8 -3.6 True False
134.923 -3.322 0.045 0.047 0.197 0.194 -0.56 0.116 -0.994 0.103 0.389 0.038 106 Per_OB1 0.2 134.8 -3.4 True False
135.101 -3.873 0.048 0.044 0.199 0.193 -0.587 0.122 -1.07 0.162 0.391 0.057 90 Per_OB1 0.2 135.0 -4.0 True False
135.073 -3.671 0.032 0.04 0.181 0.192 -0.984 0.153 -1.016 0.17 0.325 0.098 20 NGC_884,Per_OB1 0.2 135.0 -3.8 True False
135.095 -3.667 0.056 0.05 0.193 0.181 -0.364 0.059 -0.948 0.145 0.408 0.043 28 NGC_884,Per_OB1 0.2 135.0 -3.8 True False
135.06 -3.647 0.041 0.03 0.2 0.193 -0.603 0.088 -1.079 0.118 0.399 0.041 223 NGC_884,Per_OB1 0.2 135.0 -3.8 True False
135.082 -3.501 0.047 0.049 0.196 0.178 -0.318 0.088 -0.699 0.038 0.402 0.067 27 NGC_884 0.2 135.0 -3.6 True False
135.062 -3.527 0.047 0.038 0.197 0.199 -0.595 0.111 -1.032 0.098 0.394 0.038 330 NGC_884,Per_OB1 0.2 135.0 -3.6 True False
135.103 -3.312 0.043 0.047 0.199 0.194 -0.526 0.133 -0.99 0.102 0.375 0.052 152 Per_OB1 0.2 135.0 -3.4 True False
135.111 -3.131 0.05 0.046 0.197 0.189 -0.599 0.138 -0.979 0.139 0.393 0.059 72 Per_OB1 0.2 135.0 -3.2 True False
135.101 -2.121 0.043 0.04 0.197 0.191 -0.431 0.202 -0.7 0.127 0.332 0.12 63 unknown 0.2 135.0 -2.2 False True
135.299 -3.659 0.048 0.044 0.191 0.194 -0.578 0.118 -1.085 0.129 0.373 0.043 79 Per_OB1 0.2 135.2 -3.8 True False
135.29 -3.498 0.054 0.051 0.198 0.194 -0.526 0.104 -1.042 0.108 0.384 0.042 122 NGC_884,Per_OB1 0.2 135.2 -3.6 True False
135.286 -3.304 0.053 0.053 0.194 0.197 -0.496 0.109 -1.008 0.128 0.372 0.051 124 Per_OB1 0.2 135.2 -3.4 True False
135.31 -3.119 0.042 0.044 0.199 0.185 -0.435 0.142 -0.965 0.161 0.389 0.061 104 Per_OB1 0.2 135.2 -3.2 True False
135.283 -2.912 0.048 0.05 0.188 0.196 -0.455 0.103 -0.897 0.131 0.378 0.061 54 Per_OB1 0.2 135.2 -3.0 True False
135.312 -2.691 0.046 0.045 0.195 0.198 -0.393 0.135 -0.703 0.212 0.324 0.122 87 unknown 0.2 135.2 -2.8 False True
135.313 0.893 0.047 0.038 0.188 0.196 -0.716 0.185 -0.151 0.166 0.388 0.085 67 unknown 0.2 135.2 0.8 False True
135.503 -3.696 0.053 0.038 0.198 0.192 -0.587 0.134 -1.083 0.184 0.386 0.061 76 Per_OB1 0.2 135.4 -3.8 True False
135.478 -3.491 0.044 0.052 0.198 0.194 -0.436 0.151 -1.052 0.136 0.37 0.06 89 Per_OB1 0.2 135.4 -3.6 True False
135.492 -3.292 0.053 0.049 0.198 0.193 -0.458 0.104 -1.138 0.08 0.38 0.043 92 Per_OB1 0.2 135.4 -3.4 True False
135.485 -3.111 0.048 0.062 0.195 0.198 -0.46 0.174 -0.994 0.166 0.372 0.061 94 Per_OB1 0.2 135.4 -3.2 True False
135.508 -2.903 0.049 0.042 0.184 0.197 -0.481 0.195 -1.027 0.113 0.362 0.069 75 Per_OB1 0.2 135.4 -3.0 True False
135.524 0.89 0.045 0.051 0.185 0.194 -0.705 0.214 -0.159 0.163 0.386 0.074 85 unknown 0.2 135.4 0.8 False True
135.692 -3.309 0.055 0.06 0.197 0.196 -0.388 0.178 -1.097 0.193 0.365 0.066 121 Per_OB1 0.2 135.6 -3.4 True False
135.686 -3.107 0.045 0.05 0.198 0.198 -0.415 0.155 -0.989 0.222 0.368 0.089 127 Per_OB1 0.2 135.6 -3.2 True False
135.687 -2.734 0.039 0.042 0.191 0.194 -0.47 0.125 -0.946 0.141 0.382 0.058 73 Per_OB1 0.2 135.6 -2.8 True False
135.686 -2.294 0.047 0.034 0.197 0.198 -0.427 0.206 -0.909 0.15 0.317 0.076 121 unknown 0.2 135.6 -2.4 False True
135.77 -1.543 0.017 0.016 0.18 0.194 0.499 0.109 -0.73 0.13 0.321 0.065 84 Czernik_8 0.2 135.6 -1.6 True False
135.711 0.905 0.046 0.048 0.196 0.198 -0.703 0.209 -0.075 0.164 0.375 0.112 99 unknown 0.2 135.6 0.8 False True
135.721 1.518 0.044 0.037 0.195 0.192 -1.753 0.12 2.142 0.13 0.884 0.038 117 NGC_1027 0.2 135.6 1.4 True False
135.718 1.663 0.04 0.04 0.187 0.192 -1.691 0.084 2.112 0.109 0.865 0.048 60 NGC_1027 0.2 135.6 1.6 True False
135.653 2.28 0.025 0.023 0.185 0.195 0.611 0.082 -0.224 0.093 0.281 0.054 129 Czernik_13 0.2 135.6 2.2 True False
135.688 3.077 0.03 0.037 0.189 0.188 -0.776 0.078 0.389 0.158 0.135 0.06 79 unknown 0.2 135.6 3.0 False True
135.899 -3.493 0.044 0.052 0.196 0.191 -0.357 0.211 -1.056 0.173 0.36 0.071 91 Per_OB1 0.2 135.8 -3.6 True False
135.875 -3.091 0.049 0.046 0.193 0.196 -0.358 0.186 -1.183 0.18 0.388 0.069 86 Per_OB1 0.2 135.8 -3.2 True False
135.854 0.266 0.021 0.023 0.189 0.19 -0.692 0.08 -0.334 0.116 0.435 0.058 94 Berkeley_65 0.2 135.8 0.2 True False
135.872 1.305 0.048 0.035 0.192 0.182 -1.706 0.122 2.029 0.121 0.879 0.044 29 NGC_1027 0.2 135.8 1.2 True False
135.875 1.49 0.042 0.038 0.191 0.194 -1.761 0.076 2.088 0.123 0.879 0.034 50 NGC_1027 0.2 135.8 1.4 True False
135.878 1.669 0.049 0.047 0.182 0.197 -1.704 0.126 2.078 0.126 0.824 0.077 49 NGC_1027 0.2 135.8 1.6 True False
136.117 -2.7 0.037 0.054 0.197 0.191 -0.275 0.102 -0.993 0.098 0.398 0.029 49 NGC_957,Per_OB1 0.2 136.0 -2.8 True False
136.06 -1.132 0.025 0.031 0.194 0.194 -0.562 0.075 -0.093 0.108 0.359 0.057 124 King_4 0.2 136.0 -1.2 True False
136.122 2.108 0.036 0.026 0.195 0.191 -0.619 0.127 0.19 0.114 0.211 0.076 79 unknown 0.2 136.0 2.0 False True
136.296 -2.882 0.051 0.05 0.195 0.195 -0.333 0.171 -1.011 0.109 0.358 0.07 64 NGC_957,Per_OB1 0.2 136.2 -3.0 True False
136.297 -2.668 0.031 0.036 0.198 0.183 -0.271 0.09 -1.041 0.082 0.392 0.038 181 NGC_957,Per_OB1 0.2 136.2 -2.8 True False
136.303 -2.676 0.032 0.055 0.182 0.186 0.044 0.174 -0.708 0.067 0.329 0.138 28 NGC_957 0.2 136.2 -2.8 True False
136.494 -2.688 0.045 0.058 0.198 0.193 -0.171 0.097 -1.147 0.21 0.367 0.062 60 NGC_957 0.2 136.4 -2.8 True False
136.475 -2.504 0.036 0.056 0.198 0.198 -0.264 0.112 -1.075 0.063 0.434 0.039 53 NGC_957,Per_OB1 0.2 136.4 -2.6 True False
136.501 2.502 0.041 0.039 0.197 0.193 -0.605 0.121 0.224 0.177 0.171 0.071 75 unknown 0.2 136.4 2.4 False True
136.529 4.127 0.028 0.026 0.194 0.193 -0.945 0.136 0.525 0.121 0.145 0.098 83 unknown 0.2 136.4 4.0 False True
136.726 -2.11 0.044 0.055 0.194 0.2 -0.202 0.104 -1.118 0.092 0.393 0.054 46 unknown 0.2 136.6 -2.2 False True
136.9 -2.107 0.048 0.045 0.199 0.194 -0.141 0.167 -1.049 0.179 0.381 0.091 79 unknown 0.2 136.8 -2.2 False True
136.839 8.686 0.02 0.013 0.152 0.191 0.154 0.097 -0.169 0.103 0.183 0.05 43 unknown 0.2 136.8 8.6 False True
137.141 -3.924 0.041 0.033 0.133 0.186 1.671 0.086 -5.238 0.074 1.449 0.078 15 Trumpler_2 0.2 137.0 -4.0 True False
137.16 0.901 0.029 0.033 0.198 0.194 -0.452 0.103 -0.271 0.166 0.414 0.057 119 IC_1848 0.2 137.0 0.8 True False
137.153 1.063 0.034 0.032 0.199 0.186 -0.38 0.12 -0.301 0.148 0.413 0.05 85 IC_1848 0.2 137.0 1.0 True False
137.322 -3.926 0.044 0.04 0.182 0.189 1.585 0.14 -5.246 0.075 1.426 0.05 24 Trumpler_2 0.2 137.2 -4.0 True False
137.269 0.891 0.051 0.038 0.2 0.194 -0.304 0.13 -0.32 0.13 0.4 0.064 151 IC_1848 0.2 137.2 0.8 True False
137.469 -3.903 0.038 0.06 0.193 0.191 1.53 0.101 -5.306 0.105 1.417 0.034 34 Trumpler_2 0.2 137.4 -4.0 True False
137.494 1.284 0.056 0.033 0.194 0.188 -0.059 0.206 -0.292 0.241 0.332 0.116 124 unknown 0.2 137.4 1.2 False True
137.707 -1.902 0.057 0.052 0.19 0.184 0.163 0.112 -1.114 0.113 0.335 0.066 45 ASCC_9 0.2 137.6 -2.0 True False
137.899 -1.89 0.046 0.042 0.195 0.193 0.161 0.17 -1.059 0.164 0.378 0.06 90 ASCC_9 0.2 137.8 -2.0 True False
137.876 -1.725 0.035 0.04 0.197 0.198 0.182 0.139 -1.135 0.092 0.399 0.064 94 ASCC_9 0.2 137.8 -1.8 True False
137.914 1.464 0.047 0.032 0.176 0.192 -0.244 0.106 0.15 0.085 0.409 0.047 70 SAI_24 0.2 137.8 1.4 True False
137.914 4.498 0.056 0.052 0.18 0.198 -3.297 0.141 -0.085 0.093 1.466 0.033 36 Trumpler_3 0.2 137.8 4.4 True False
137.907 4.675 0.041 0.046 0.17 0.165 -3.358 0.092 -0.115 0.041 1.455 0.046 19 Trumpler_3 0.2 137.8 4.6 True False
137.956 4.847 0.022 0.027 0.186 0.181 0.256 0.054 0.518 0.103 0.327 0.05 40 unknown 0.2 137.8 4.8 False True
137.933 6.344 0.038 0.035 0.193 0.197 -0.369 0.164 0.488 0.172 0.205 0.108 51 unknown 0.2 137.8 6.2 False True
138.112 -4.724 0.017 0.027 0.181 0.168 -0.264 0.087 0.911 0.068 0.467 0.063 51 Czernik_12 0.2 138.0 -4.8 True False
138.072 1.507 0.043 0.028 0.199 0.197 -0.143 0.126 0.083 0.117 0.42 0.057 102 SAI_24 0.2 138.0 1.4 True False
138.089 4.504 0.054 0.032 0.195 0.184 -3.308 0.102 -0.086 0.087 1.437 0.063 39 Trumpler_3 0.2 138.0 4.4 True False
138.108 4.703 0.037 0.044 0.174 0.191 -3.26 0.199 -0.136 0.121 1.437 0.043 26 Trumpler_3 0.2 138.0 4.6 True False
138.568 8.892 0.025 0.038 0.148 0.191 -1.482 0.04 1.046 0.058 0.365 0.021 58 Berkeley_10 0.2 138.4 8.8 True False
138.641 8.886 0.025 0.021 0.185 0.174 -1.45 0.052 1.052 0.074 0.375 0.041 92 Berkeley_10 0.2 138.6 8.8 True False
138.889 -2.343 0.044 0.039 0.185 0.199 0.413 0.082 -1.228 0.113 0.348 0.049 54 unknown 0.2 138.8 -2.4 False True
139.475 -1.272 0.047 0.059 0.18 0.196 0.692 0.149 -1.293 0.162 0.386 0.068 32 SAI_25 0.2 139.4 -1.4 True False
139.495 -1.123 0.05 0.05 0.196 0.196 0.687 0.154 -1.241 0.147 0.389 0.056 51 unknown 0.2 139.4 -1.2 False True
139.498 -0.93 0.045 0.044 0.194 0.197 0.689 0.155 -1.124 0.214 0.371 0.089 71 unknown 0.2 139.4 -1.0 False True
120.085 -4.831 0.013 0.011 0.082 0.074 -2.162 0.036 -1.772 0.054 0.524 0.034 15 Stock_21 0.1 120.0 -4.9 True False
120.062 0.25 0.023 0.029 0.096 0.094 -2.979 0.202 -0.726 0.095 0.327 0.035 34 unknown 0.1 120.0 0.2 False True
120.072 1.03 0.013 0.011 0.092 0.095 -2.51 0.08 -0.859 0.07 0.207 0.035 51 FSR_0494 0.1 120.0 1.0 True False
120.136 -4.835 0.014 0.014 0.097 0.081 -2.173 0.059 -1.788 0.068 0.502 0.028 41 Stock_21 0.1 120.1 -4.9 True False
120.136 1.036 0.022 0.024 0.087 0.098 -2.531 0.129 -0.819 0.082 0.227 0.057 38 FSR_0494 0.1 120.1 1.0 True False
120.171 1.253 0.016 0.021 0.096 0.094 2.25 0.078 -0.61 0.123 0.642 0.044 52 FSR_0496 0.1 120.1 1.2 True False
120.159 1.343 0.017 0.024 0.075 0.091 2.221 0.097 -0.547 0.058 0.631 0.04 23 FSR_0496 0.1 120.1 1.3 True False
120.273 -2.628 0.017 0.014 0.094 0.095 -2.545 0.061 -1.108 0.047 0.506 0.032 30 NGC_129 0.1 120.2 -2.7 True False
120.257 -2.55 0.022 0.022 0.095 0.095 -2.618 0.097 -1.13 0.061 0.499 0.044 56 NGC_129 0.1 120.2 -2.6 True False
120.239 -1.635 0.012 0.016 0.097 0.095 -1.258 0.088 -0.298 0.083 0.14 0.083 42 unknown 0.1 120.2 -1.7 False True
120.25 1.259 0.024 0.026 0.096 0.097 2.241 0.065 -0.653 0.11 0.646 0.042 47 FSR_0496 0.1 120.2 1.2 True False
120.347 -2.639 0.03 0.023 0.096 0.098 -2.617 0.103 -1.095 0.081 0.514 0.045 36 NGC_129 0.1 120.3 -2.7 True False
120.335 -2.55 0.02 0.018 0.092 0.096 -2.599 0.07 -1.117 0.081 0.502 0.033 68 NGC_129 0.1 120.3 -2.6 True False
120.358 -2.47 0.022 0.018 0.098 0.098 -2.621 0.068 -1.107 0.074 0.506 0.04 30 NGC_129 0.1 120.3 -2.5 True False
120.36 -0.362 0.016 0.017 0.091 0.093 -3.318 0.051 -0.666 0.041 0.339 0.017 33 FSR_0498 0.1 120.3 -0.4 True False
120.564 -1.271 0.009 0.008 0.086 0.099 -1.624 0.045 -0.507 0.048 0.186 0.042 57 NGC_136 0.1 120.5 -1.3 True False
120.661 0.628 0.022 0.02 0.095 0.097 -2.438 0.157 -0.42 0.064 0.226 0.04 56 unknown 0.1 120.6 0.6 False True
120.765 -0.941 0.018 0.013 0.098 0.094 -2.352 0.098 -0.823 0.085 0.316 0.049 76 King_15 0.1 120.7 -1.0 True False
120.744 0.365 0.021 0.017 0.088 0.093 -3.264 0.087 -1.024 0.053 0.389 0.036 82 King_14 0.1 120.7 0.3 True False
120.858 0.525 0.024 0.016 0.096 0.092 -2.833 0.065 -0.422 0.053 0.312 0.027 43 NGC_146 0.1 120.8 0.5 True False
121.03 2.466 0.017 0.014 0.08 0.088 -1.71 0.102 0.415 0.111 0.217 0.069 48 unknown 0.1 121.0 2.4 False True
121.474 -1.755 0.019 0.013 0.084 0.087 0.338 0.084 -3.265 0.071 0.788 0.029 21 NGC_189 0.1 121.4 -1.8 True False
121.526 -1.755 0.018 0.017 0.086 0.09 0.361 0.086 -3.318 0.101 0.764 0.029 23 NGC_189 0.1 121.5 -1.8 True False
121.571 -1.259 0.017 0.022 0.098 0.096 -1.08 0.172 -0.396 0.174 0.194 0.068 63 unknown 0.1 121.5 -1.3 False True
121.558 -0.871 0.019 0.013 0.094 0.097 -1.417 0.07 0.082 0.058 0.317 0.028 78 Stock_24 0.1 121.5 -0.9 True False
121.758 0.742 0.024 0.02 0.093 0.099 -1.782 0.135 -0.277 0.135 0.254 0.069 44 unknown 0.1 121.7 0.7 False True
