#medianRA medianDEC  madRA  madDEC  regDRA  regDDEC  medianPmRa  madPmRa  medianPmDec  madPmDec  medianPlx madPlx nObj possibleName tileEdge tileRA tileDEC known unknown
35.360 56.917 0.100 0.047 0.393 0.197 -0.560 0.167 -1.033 0.150 0.380 0.058 137 Per_OB1 0.2 35.2 56.8 True False
35.442 57.130 0.093 0.025 0.396 0.197 -0.762 0.158 -1.432 0.356 0.406 0.074 44 NGC_884,Per_OB1 0.2 35.2 57.0 True False
35.471 57.120 0.071 0.041 0.397 0.197 -0.647 0.095 -1.089 0.098 0.400 0.037 427 NGC_884,Per_OB1 0.2 35.2 57.0 True False
35.458 57.305 0.086 0.040 0.319 0.159 -0.713 0.106 -0.633 0.120 0.353 0.107 16 NGC_884,Per_OB1 0.2 35.2 57.2 True False
35.424 57.272 0.090 0.046 0.393 0.199 -0.603 0.119 -1.063 0.097 0.396 0.040 235 NGC_884,Per_OB1 0.2 35.2 57.2 True False
35.476 57.248 0.073 0.034 0.342 0.148 -0.416 0.144 -0.628 0.046 0.335 0.065 11 NGC_884 0.2 35.2 57.2 True False
35.417 57.468 0.101 0.054 0.397 0.197 -0.607 0.118 -1.019 0.074 0.382 0.041 68 Per_OB1 0.2 35.2 57.4 True False
35.412 59.900 0.095 0.042 0.392 0.194 -0.439 0.173 -0.472 0.089 0.321 0.070 60 unknown 0.2 35.2 59.8 False True
35.740 56.917 0.087 0.049 0.398 0.196 -0.486 0.102 -1.004 0.137 0.373 0.056 85 NGC_884,Per_OB1 0.2 35.6 56.8 True False
35.830 57.106 0.089 0.052 0.395 0.195 -0.115 0.063 -0.700 0.145 0.404 0.094 33 unknown 0.2 35.6 57.0 False True
35.744 57.118 0.084 0.046 0.395 0.198 -0.573 0.112 -1.030 0.113 0.397 0.040 238 NGC_884,Per_OB1 0.2 35.6 57.0 True False
35.784 57.284 0.102 0.050 0.392 0.200 -0.528 0.119 -1.012 0.102 0.376 0.040 216 NGC_884,Per_OB1 0.2 35.6 57.2 True False
35.794 57.477 0.101 0.044 0.390 0.196 -0.526 0.166 -0.915 0.145 0.366 0.064 116 Per_OB1 0.2 35.6 57.4 True False
36.171 56.904 0.109 0.046 0.394 0.195 -0.541 0.155 -1.109 0.189 0.368 0.052 100 Per_OB1 0.2 36.0 56.8 True False
36.175 57.100 0.106 0.054 0.393 0.198 -0.549 0.090 -1.093 0.104 0.385 0.040 109 Per_OB1 0.2 36.0 57.0 True False
36.165 57.296 0.115 0.054 0.393 0.199 -0.500 0.113 -1.009 0.128 0.372 0.052 149 Per_OB1 0.2 36.0 57.2 True False
36.219 57.495 0.109 0.048 0.396 0.197 -0.495 0.137 -0.992 0.143 0.390 0.066 116 Per_OB1 0.2 36.0 57.4 True False
36.213 58.490 0.087 0.045 0.369 0.195 -0.457 0.176 -0.712 0.140 0.354 0.088 66 Per_OB1 0.2 36.0 58.4 True False
36.227 59.919 0.102 0.045 0.390 0.190 -0.945 0.118 -0.518 0.108 0.392 0.072 88 COIN-Gaia_36 0.2 36.0 59.8 True False
36.123 63.714 0.096 0.057 0.382 0.178 3.170 0.070 -3.998 0.086 0.955 0.025 17 NGC_886 0.2 36.0 63.6 True False
36.161 63.862 0.076 0.030 0.383 0.142 3.169 0.036 -4.075 0.117 0.960 0.024 20 NGC_886 0.2 36.0 63.8 True False
36.602 57.103 0.119 0.040 0.392 0.200 -0.445 0.092 -1.118 0.150 0.381 0.048 80 Per_OB1 0.2 36.4 57.0 True False
36.614 57.283 0.099 0.044 0.397 0.195 -0.458 0.120 -1.093 0.084 0.374 0.043 96 Per_OB1 0.2 36.4 57.2 True False
36.590 57.486 0.111 0.047 0.396 0.199 -0.400 0.182 -0.964 0.148 0.375 0.074 106 Per_OB1 0.2 36.4 57.4 True False
36.592 57.709 0.102 0.056 0.379 0.193 -0.463 0.098 -0.901 0.125 0.359 0.081 60 Per_OB1 0.2 36.4 57.6 True False
37.030 56.916 0.095 0.047 0.397 0.195 -0.339 0.199 -1.102 0.153 0.365 0.067 96 Per_OB1 0.2 36.8 56.8 True False
37.011 57.098 0.093 0.047 0.396 0.193 -0.448 0.143 -1.098 0.188 0.370 0.065 97 Per_OB1 0.2 36.8 57.0 True False
36.958 57.298 0.087 0.045 0.395 0.196 -0.383 0.162 -1.086 0.185 0.379 0.081 121 Per_OB1 0.2 36.8 57.2 True False
36.987 57.490 0.090 0.046 0.396 0.197 -0.411 0.159 -0.998 0.217 0.375 0.069 115 Per_OB1 0.2 36.8 57.4 True False
36.998 57.710 0.119 0.050 0.396 0.189 -0.521 0.124 -0.992 0.096 0.355 0.058 66 Per_OB1 0.2 36.8 57.6 True False
37.081 60.125 0.075 0.032 0.382 0.195 -1.173 0.095 -0.608 0.107 0.249 0.090 53 unknown 0.2 36.8 60.0 False True
37.365 57.310 0.104 0.046 0.392 0.196 -0.298 0.183 -1.094 0.195 0.371 0.063 94 Per_OB1 0.2 37.2 57.2 True False
