#medianRA medianDEC  madRA  madDEC  regDRA  regDDEC  medianPmRa  madPmRa  medianPmDec  madPmDec  medianPlx madPlx nObj possibleName tileEdge tileRA tileDEC known unknown
57.366 58.918 0.078 0.034 0.392 0.190 0.527 0.090 -2.431 0.089 0.549 0.026 37 Tombaugh_5 0.2 57.2 58.8 True False
57.314 59.089 0.069 0.050 0.398 0.187 0.531 0.077 -2.410 0.136 0.567 0.036 60 Tombaugh_5 0.2 57.2 59.0 True False
58.134 55.321 0.071 0.042 0.359 0.196 -0.088 0.156 0.129 0.207 0.215 0.086 57 unknown 0.2 58.0 55.2 False True
59.067 52.131 0.076 0.039 0.385 0.191 0.982 0.159 -1.132 0.197 0.274 0.134 54 unknown 0.2 58.8 52.0 False True
58.863 58.382 0.029 0.013 0.369 0.192 -0.223 0.071 -0.019 0.123 0.180 0.060 45 Juchert_9 0.2 58.8 58.2 True False
59.410 57.269 0.097 0.035 0.388 0.170 -0.098 0.135 0.426 0.270 0.190 0.078 63 unknown 0.2 59.2 57.2 False True
59.787 51.771 0.039 0.018 0.397 0.200 1.124 0.130 -1.188 0.117 0.275 0.061 228 King_7 0.2 59.6 51.6 True False
59.801 51.759 0.064 0.016 0.378 0.162 1.651 0.117 -1.032 0.132 0.379 0.178 14 unknown 0.2 59.6 51.6 False True
59.793 51.833 0.041 0.022 0.309 0.166 1.073 0.116 -1.183 0.095 0.290 0.055 91 King_7 0.2 59.6 51.8 True False
59.868 55.313 0.093 0.042 0.394 0.195 0.030 0.138 -0.013 0.165 0.188 0.095 76 unknown 0.2 59.6 55.2 False True
59.794 55.505 0.104 0.049 0.394 0.197 -0.007 0.112 0.042 0.110 0.179 0.071 70 unknown 0.2 59.6 55.4 False True
59.785 55.706 0.086 0.044 0.383 0.200 0.073 0.161 0.081 0.152 0.204 0.064 104 unknown 0.2 59.6 55.6 False True
59.800 55.903 0.101 0.049 0.399 0.195 0.045 0.146 0.159 0.151 0.210 0.081 85 unknown 0.2 59.6 55.8 False True
59.791 57.249 0.064 0.034 0.380 0.190 0.027 0.092 0.449 0.154 0.229 0.061 80 unknown 0.2 59.6 57.2 False True
60.227 55.100 0.091 0.043 0.387 0.197 0.074 0.236 0.084 0.206 0.204 0.093 116 unknown 0.2 60.0 55.0 False True
60.158 55.296 0.088 0.041 0.397 0.194 0.061 0.138 -0.048 0.201 0.193 0.081 144 unknown 0.2 60.0 55.2 False True
60.243 55.510 0.093 0.056 0.375 0.194 0.111 0.170 -0.108 0.236 0.177 0.079 97 unknown 0.2 60.0 55.4 False True
60.225 56.495 0.099 0.047 0.396 0.195 0.222 0.195 0.208 0.197 0.171 0.078 98 unknown 0.2 60.0 56.4 False True
60.603 55.301 0.088 0.049 0.398 0.192 0.086 0.155 -0.082 0.193 0.225 0.085 89 unknown 0.2 60.4 55.2 False True
60.602 55.711 0.114 0.051 0.395 0.197 0.084 0.192 -0.028 0.192 0.204 0.099 108 unknown 0.2 60.4 55.6 False True
60.573 57.100 0.089 0.047 0.385 0.197 0.132 0.156 0.133 0.157 0.218 0.079 109 unknown 0.2 60.4 57.0 False True
61.097 52.671 0.043 0.024 0.338 0.191 1.527 0.093 -0.732 0.069 0.605 0.035 76 NGC_1496 0.2 60.8 52.6 True False
61.358 55.922 0.058 0.026 0.394 0.187 -0.169 0.120 0.038 0.087 0.164 0.079 84 unknown 0.2 61.2 55.8 False True
61.801 57.094 0.098 0.054 0.393 0.191 0.168 0.115 -0.103 0.222 0.204 0.098 89 unknown 0.2 61.6 57.0 False True
62.561 55.902 0.097 0.052 0.392 0.199 0.076 0.238 0.211 0.163 0.197 0.086 97 unknown 0.2 62.4 55.8 False True
27.736 60.782 0.116 0.122 0.655 0.494 -1.096 0.173 -0.403 0.100 0.360 0.030 105 unknown 0.5 27.0 60.5 False True
27.806 61.109 0.065 0.078 0.419 0.492 -0.911 0.203 -0.393 0.158 0.347 0.029 90 Berkeley_6 0.5 27.0 61.0 True False
28.419 60.731 0.266 0.109 0.996 0.497 -1.067 0.146 -0.401 0.085 0.361 0.029 99 unknown 0.5 28.0 60.5 False True
28.513 61.239 0.236 0.114 0.990 0.484 -1.022 0.150 -0.333 0.139 0.361 0.037 124 unknown 0.5 28.0 61.0 False True
28.426 61.764 0.260 0.121 0.984 0.492 -1.088 0.110 -0.355 0.166 0.356 0.033 117 unknown 0.5 28.0 61.5 False True
28.534 62.307 0.115 0.102 0.885 0.479 -1.010 0.113 -0.180 0.124 0.350 0.027 137 Berkeley_7 0.5 28.0 62.0 True False
29.567 59.293 0.259 0.118 0.992 0.490 -1.502 0.164 -0.748 0.176 0.423 0.071 103 unknown 0.5 29.0 59.0 False True
29.614 60.144 0.136 0.067 0.971 0.481 -0.044 0.065 -1.690 0.077 0.881 0.032 68 NGC_743 0.5 29.0 60.0 True False
29.530 60.742 0.234 0.123 0.997 0.480 -1.025 0.161 -0.456 0.094 0.367 0.038 105 unknown 0.5 29.0 60.5 False True
29.562 61.282 0.222 0.134 0.967 0.498 -1.087 0.179 -0.378 0.189 0.372 0.042 140 unknown 0.5 29.0 61.0 False True
29.534 61.784 0.230 0.121 0.997 0.486 -1.019 0.088 -0.305 0.137 0.351 0.030 83 unknown 0.5 29.0 61.5 False True
30.505 58.285 0.206 0.128 0.976 0.496 -1.270 0.126 -0.940 0.134 0.421 0.060 90 unknown 0.5 30.0 58.0 False True
30.327 63.801 0.084 0.040 0.827 0.399 -4.904 0.060 -0.142 0.052 0.648 0.017 45 Gulliver_51 0.5 30.0 63.5 True False
31.458 58.778 0.248 0.103 0.981 0.499 -1.135 0.192 -0.853 0.129 0.399 0.040 127 unknown 0.5 31.0 58.5 False True
31.536 59.267 0.237 0.136 0.987 0.491 -1.163 0.218 -0.812 0.138 0.401 0.048 106 unknown 0.5 31.0 59.0 False True
31.578 59.845 0.228 0.116 0.941 0.415 16.293 0.204 -13.178 0.178 2.586 0.034 11 Stock_2 0.5 31.0 59.5 True False
31.685 60.261 0.224 0.068 0.973 0.487 -0.873 0.063 -0.567 0.177 0.364 0.039 96 unknown 0.5 31.0 60.0 False True
31.221 64.357 0.128 0.049 0.961 0.415 -0.746 0.097 -2.131 0.065 1.012 0.034 53 Stock_5 0.5 31.0 64.0 True False
32.630 57.393 0.206 0.042 0.998 0.260 -0.972 0.088 -1.077 0.115 0.376 0.033 54 Per_OB1 0.5 32.0 57.0 True False
32.649 57.682 0.187 0.087 0.985 0.495 -1.003 0.146 -0.982 0.148 0.395 0.046 93 Per_OB1 0.5 32.0 57.5 True False
32.446 58.261 0.197 0.116 0.968 0.497 -1.073 0.181 -0.883 0.170 0.411 0.045 125 Per_OB1 0.5 32.0 58.0 True False
32.487 58.732 0.248 0.117 0.988 0.494 -0.950 0.213 -0.869 0.149 0.417 0.043 148 Per_OB1 0.5 32.0 58.5 True False
33.582 57.304 0.247 0.110 0.997 0.492 -0.830 0.125 -1.089 0.113 0.394 0.038 127 Per_OB1 0.5 33.0 57.0 True False
33.477 57.704 0.266 0.116 0.998 0.497 -0.837 0.143 -0.958 0.101 0.389 0.042 138 Per_OB1 0.5 33.0 57.5 True False
33.502 58.770 0.271 0.131 0.994 0.491 -0.802 0.208 -0.656 0.164 0.390 0.041 114 Per_OB1 0.5 33.0 58.5 True False
33.470 59.287 0.233 0.116 0.984 0.493 -1.035 0.201 -0.629 0.148 0.393 0.040 126 unknown 0.5 33.0 59.0 False True
33.579 59.753 0.246 0.112 0.984 0.497 -1.020 0.249 -0.435 0.115 0.378 0.040 121 unknown 0.5 33.0 59.5 False True
34.717 56.963 0.172 0.024 0.868 0.164 -0.667 0.102 -1.113 0.087 0.407 0.036 130 NGC_869,Per_OB1 0.5 34.0 56.5 True False
34.515 57.303 0.241 0.110 0.891 0.404 -0.968 0.074 -0.919 0.081 0.370 0.025 21 NGC_869,Per_OB1 0.5 34.0 57.0 True False
34.697 57.156 0.135 0.076 0.905 0.418 -0.624 0.124 -0.756 0.047 0.410 0.047 33 NGC_869,Per_OB1 0.5 34.0 57.0 True False
34.708 57.159 0.121 0.071 0.962 0.469 -0.537 0.153 -0.648 0.081 0.388 0.046 73 NGC_869 0.5 34.0 57.0 True False
34.680 57.154 0.129 0.061 0.986 0.498 -0.696 0.085 -1.085 0.090 0.398 0.031 848 NGC_869,Per_OB1 0.5 34.0 57.0 True False
34.445 57.745 0.247 0.121 0.988 0.494 -0.743 0.137 -0.987 0.117 0.402 0.040 140 Per_OB1 0.5 34.0 57.5 True False
34.725 58.282 0.169 0.061 0.989 0.476 -0.582 0.158 -0.932 0.197 0.434 0.044 140 Per_OB1 0.5 34.0 58.0 True False
34.642 58.803 0.232 0.100 0.934 0.493 -0.926 0.101 -0.656 0.125 0.392 0.036 119 unknown 0.5 34.0 58.5 False True
34.495 59.254 0.244 0.113 0.973 0.488 -0.841 0.250 -0.577 0.162 0.391 0.040 116 unknown 0.5 34.0 59.0 False True
34.495 59.105 0.236 0.093 0.981 0.486 -0.945 0.061 -0.585 0.057 0.380 0.030 50 unknown 0.5 34.0 59.0 False True
34.525 59.751 0.210 0.137 0.973 0.498 -0.717 0.122 -0.819 0.124 0.386 0.051 57 Per_OB1 0.5 34.0 59.5 True False
34.481 61.165 0.178 0.076 0.972 0.453 -0.848 0.141 -0.187 0.114 0.413 0.037 41 unknown 0.5 34.0 61.0 False True
35.495 56.901 0.238 0.061 0.995 0.351 -0.591 0.117 -1.062 0.083 0.404 0.030 166 Per_OB1 0.5 35.0 56.5 True False
35.525 57.177 0.172 0.089 0.989 0.485 -0.683 0.134 -1.035 0.082 0.397 0.029 202 NGC_884,Per_OB1 0.5 35.0 57.0 True False
35.520 57.255 0.253 0.084 0.962 0.495 -0.730 0.297 -1.252 0.201 0.402 0.036 54 NGC_884,Per_OB1 0.5 35.0 57.0 True False
35.558 57.186 0.201 0.089 0.921 0.491 -0.366 0.182 -0.705 0.083 0.418 0.055 85 NGC_884 0.5 35.0 57.0 True False
35.421 57.156 0.182 0.050 0.967 0.463 -0.540 0.126 -1.288 0.111 0.388 0.037 47 NGC_884,Per_OB1 0.5 35.0 57.0 True False
35.512 57.170 0.147 0.079 0.988 0.492 -0.602 0.087 -1.068 0.082 0.397 0.032 653 NGC_884,Per_OB1 0.5 35.0 57.0 True False
35.376 57.322 0.270 0.120 0.750 0.383 -0.708 0.234 -0.988 0.181 0.403 0.017 12 NGC_884,Per_OB1 0.5 35.0 57.0 True False
35.443 57.653 0.194 0.104 0.980 0.497 -0.595 0.152 -1.009 0.150 0.409 0.055 158 Per_OB1 0.5 35.0 57.5 True False
35.377 58.273 0.267 0.110 0.984 0.490 -0.554 0.151 -0.875 0.159 0.416 0.041 98 Per_OB1 0.5 35.0 58.0 True False
35.465 58.739 0.228 0.157 0.999 0.497 -0.654 0.206 -0.733 0.142 0.396 0.048 161 Per_OB1 0.5 35.0 58.5 True False
35.459 59.244 0.235 0.116 0.994 0.498 -0.710 0.145 -0.593 0.135 0.389 0.042 125 unknown 0.5 35.0 59.0 False True
35.508 60.170 0.233 0.093 0.937 0.492 -0.864 0.212 -0.434 0.097 0.391 0.049 91 unknown 0.5 35.0 60.0 False True
35.752 63.781 0.174 0.055 0.977 0.486 3.198 0.062 -3.966 0.079 0.952 0.023 58 NGC_886 0.5 35.0 63.5 True False
36.496 56.823 0.247 0.117 0.987 0.498 -0.571 0.125 -1.158 0.100 0.404 0.040 139 Per_OB1 0.5 36.0 56.5 True False
36.418 57.241 0.250 0.102 0.996 0.497 -0.489 0.105 -1.093 0.095 0.393 0.032 357 Per_OB1 0.5 36.0 57.0 True False
36.340 57.278 0.254 0.133 0.985 0.489 -0.500 0.122 -0.735 0.088 0.393 0.048 53 Per_OB1 0.5 36.0 57.0 True False
36.481 57.707 0.285 0.115 0.993 0.479 -0.467 0.107 -0.965 0.089 0.404 0.040 145 Per_OB1 0.5 36.0 57.5 True False
36.467 58.307 0.245 0.109 0.985 0.495 -0.461 0.194 -0.841 0.164 0.400 0.050 159 Per_OB1 0.5 36.0 58.0 True False
36.456 60.136 0.245 0.110 0.994 0.488 -0.964 0.151 -0.461 0.188 0.406 0.048 100 COIN-Gaia_36 0.5 36.0 60.0 True False
36.640 61.760 0.177 0.137 0.923 0.488 -0.726 0.233 -0.349 0.228 0.448 0.047 69 unknown 0.5 36.0 61.5 False True
36.229 63.771 0.190 0.101 0.983 0.425 3.157 0.073 -4.022 0.086 0.955 0.020 41 NGC_886 0.5 36.0 63.5 True False
37.423 56.763 0.264 0.120 0.994 0.492 -0.255 0.180 -1.079 0.135 0.399 0.041 136 Per_OB1 0.5 37.0 56.5 True False
37.261 57.289 0.149 0.123 0.798 0.476 -0.660 0.097 -1.058 0.080 0.394 0.029 20 Per_OB1 0.5 37.0 57.0 True False
37.460 57.268 0.256 0.122 0.996 0.488 -0.366 0.092 -1.064 0.093 0.397 0.028 150 Per_OB1 0.5 37.0 57.0 True False
37.593 57.260 0.266 0.098 0.902 0.452 -0.125 0.172 -1.410 0.094 0.418 0.042 19 unknown 0.5 37.0 57.0 False True
37.462 57.701 0.252 0.113 0.984 0.492 -0.378 0.124 -0.982 0.098 0.397 0.033 174 Per_OB1 0.5 37.0 57.5 True False
37.489 58.163 0.218 0.106 0.988 0.484 -0.391 0.126 -0.888 0.127 0.387 0.042 135 Per_OB1 0.5 37.0 58.0 True False
37.353 58.766 0.209 0.120 0.986 0.496 -0.362 0.170 -0.850 0.154 0.394 0.046 126 Per_OB1 0.5 37.0 58.5 True False
37.438 60.684 0.157 0.058 0.894 0.485 -3.521 0.082 0.585 0.100 1.446 0.028 50 Stock_7 0.5 37.0 60.5 True False
37.688 61.277 0.147 0.102 0.977 0.477 -1.040 0.136 -0.170 0.165 0.417 0.048 73 unknown 0.5 37.0 61.0 False True
37.486 61.740 0.238 0.111 0.973 0.495 -0.970 0.156 -0.173 0.168 0.405 0.045 88 unknown 0.5 37.0 61.5 False True
38.342 57.386 0.179 0.087 0.978 0.493 -0.262 0.094 -1.067 0.086 0.391 0.038 117 NGC_957,Per_OB1 0.5 38.0 57.0 True False
38.395 57.598 0.170 0.061 0.982 0.486 -0.247 0.092 -1.055 0.083 0.406 0.035 234 NGC_957,Per_OB1 0.5 38.0 57.5 True False
38.516 57.706 0.160 0.132 0.960 0.491 -0.045 0.256 -0.719 0.158 0.396 0.055 59 NGC_957 0.5 38.0 57.5 True False
38.463 61.698 0.204 0.099 0.992 0.496 -0.667 0.166 -0.298 0.174 0.444 0.041 150 unknown 0.5 38.0 61.5 False True
39.403 55.920 0.183 0.038 0.928 0.268 1.536 0.144 -5.327 0.125 1.418 0.037 47 Trumpler_2 0.5 39.0 55.5 True False
39.290 56.108 0.183 0.082 0.843 0.450 1.511 0.081 -5.312 0.084 1.419 0.043 32 Trumpler_2 0.5 39.0 56.0 True False
39.462 57.754 0.238 0.123 0.997 0.488 -0.169 0.121 -1.066 0.087 0.408 0.037 139 unknown 0.5 39.0 57.5 False True
39.305 59.134 0.254 0.104 0.935 0.498 -0.558 0.090 -0.201 0.188 0.390 0.034 109 unknown 0.5 39.0 59.0 False True
39.753 60.401 0.070 0.018 0.946 0.478 -0.696 0.041 -0.330 0.109 0.442 0.039 60 Berkeley_65 0.5 39.0 60.0 True False
39.574 61.196 0.240 0.086 0.975 0.491 -0.576 0.244 -0.193 0.118 0.437 0.041 121 unknown 0.5 39.0 61.0 False True
40.346 57.760 0.212 0.115 0.970 0.489 0.009 0.199 -1.068 0.101 0.394 0.035 116 unknown 0.5 40.0 57.5 False True
40.566 59.773 0.189 0.137 0.974 0.492 -0.409 0.162 -0.463 0.147 0.407 0.070 74 unknown 0.5 40.0 59.5 False True
40.398 60.819 0.171 0.083 0.978 0.482 -0.641 0.121 -0.165 0.092 0.434 0.039 118 unknown 0.5 40.0 60.5 False True
40.637 61.373 0.192 0.065 0.947 0.475 -1.724 0.072 2.074 0.092 0.883 0.027 33 NGC_1027 0.5 40.0 61.0 True False
40.655 61.639 0.140 0.066 0.984 0.473 -1.757 0.089 2.109 0.119 0.890 0.030 170 NGC_1027 0.5 40.0 61.5 True False
41.648 57.743 0.157 0.088 0.931 0.488 0.147 0.105 -1.092 0.074 0.400 0.030 160 ASCC_9 0.5 41.0 57.5 True False
42.706 56.794 0.224 0.093 0.966 0.489 0.365 0.070 -1.239 0.082 0.377 0.026 74 unknown 0.5 42.0 56.5 False True
42.463 57.184 0.205 0.111 0.989 0.494 0.335 0.185 -1.183 0.151 0.378 0.040 104 unknown 0.5 42.0 57.0 False True
42.341 57.747 0.257 0.110 0.993 0.499 0.304 0.178 -1.059 0.129 0.385 0.032 100 ASCC_9 0.5 42.0 57.5 True False
42.787 60.378 0.085 0.050 0.968 0.491 -0.372 0.115 -0.362 0.132 0.428 0.034 151 IC_1848 0.5 42.0 60.0 True False
43.377 56.740 0.212 0.130 0.982 0.468 0.443 0.210 -1.208 0.127 0.388 0.043 98 unknown 0.5 43.0 56.5 False True
43.496 57.236 0.217 0.085 0.979 0.498 0.472 0.096 -1.099 0.143 0.391 0.039 64 unknown 0.5 43.0 57.0 False True
43.519 60.634 0.207 0.056 0.981 0.496 -0.001 0.263 -0.348 0.172 0.414 0.046 134 IC_1848 0.5 43.0 60.5 True False
44.549 56.711 0.218 0.102 0.967 0.484 0.590 0.208 -1.288 0.148 0.397 0.042 65 unknown 0.5 44.0 56.5 False True
44.618 57.288 0.208 0.129 0.990 0.493 0.589 0.102 -1.147 0.137 0.394 0.037 57 unknown 0.5 44.0 57.0 False True
44.690 57.746 0.211 0.138 0.983 0.492 0.670 0.115 -1.192 0.092 0.392 0.042 76 unknown 0.5 44.0 57.5 False True
44.626 60.596 0.192 0.047 0.978 0.463 -0.268 0.118 0.122 0.105 0.444 0.035 106 SAI_24 0.5 44.0 60.5 True False
45.457 57.376 0.252 0.086 0.948 0.495 0.771 0.103 -1.337 0.122 0.395 0.029 60 SAI_25 0.5 45.0 57.0 True False
45.582 57.692 0.206 0.119 0.979 0.489 0.633 0.126 -1.231 0.112 0.397 0.033 76 unknown 0.5 45.0 57.5 False True
46.436 57.354 0.252 0.091 0.950 0.483 0.791 0.223 -1.253 0.209 0.401 0.040 61 unknown 0.5 46.0 57.0 False True
46.570 58.267 0.273 0.105 0.987 0.484 0.764 0.150 -1.018 0.241 0.391 0.053 72 unknown 0.5 46.0 58.0 False True
48.447 60.739 0.370 0.130 0.981 0.451 0.241 0.061 0.853 0.085 0.925 0.035 20 unknown 0.5 48.0 60.5 False True
51.893 56.401 0.073 0.036 0.687 0.464 3.878 0.163 -1.864 0.168 1.360 0.030 65 King_6 0.5 51.0 56.0 True False
51.711 56.578 0.196 0.057 0.931 0.340 3.870 0.103 -1.765 0.108 1.329 0.055 28 King_6 0.5 51.0 56.5 True False
52.103 56.427 0.070 0.043 0.895 0.442 3.894 0.161 -1.830 0.189 1.336 0.038 58 King_6 0.5 52.0 56.0 True False
53.159 52.650 0.034 0.021 0.797 0.420 1.509 0.091 0.000 0.080 0.514 0.035 63 Berkeley_9 0.5 53.0 52.5 True False
56.740 58.926 0.133 0.062 0.978 0.449 0.546 0.084 -2.387 0.080 0.569 0.027 44 Tombaugh_5 0.5 56.0 58.5 True False
56.839 59.112 0.106 0.049 0.980 0.467 0.530 0.081 -2.377 0.072 0.564 0.022 147 Tombaugh_5 0.5 56.0 59.0 True False
57.352 52.660 0.141 0.032 0.811 0.433 -0.695 0.112 -1.826 0.090 0.837 0.029 40 NGC_1444 0.5 57.0 52.5 True False
57.235 58.914 0.135 0.049 0.967 0.480 0.502 0.066 -2.411 0.077 0.544 0.027 60 Tombaugh_5 0.5 57.0 58.5 True False
57.117 59.094 0.078 0.043 0.920 0.444 0.534 0.057 -2.401 0.063 0.560 0.018 94 Tombaugh_5 0.5 57.0 59.0 True False
59.764 51.770 0.079 0.044 0.979 0.472 1.124 0.146 -1.254 0.181 0.353 0.036 103 King_7 0.5 59.0 51.5 True False
61.118 52.669 0.041 0.024 0.573 0.465 1.524 0.064 -0.749 0.062 0.606 0.029 64 NGC_1496 0.5 61.0 52.5 True False
29.516 60.156 0.218 0.083 1.888 0.918 -0.076 0.079 -1.688 0.067 0.881 0.025 55 NGC_743 1.0 28.0 60.0 True False
31.142 64.362 0.150 0.066 1.772 0.861 -0.768 0.096 -2.127 0.069 1.011 0.024 60 Stock_5 1.0 30.0 64.0 True False
35.698 63.781 0.215 0.060 1.739 0.848 3.184 0.069 -3.984 0.085 0.952 0.019 58 NGC_886 1.0 34.0 63.0 True False
37.407 60.657 0.169 0.080 1.822 0.630 -3.521 0.076 0.545 0.089 1.441 0.023 54 Stock_7 1.0 36.0 60.0 True False
36.382 63.692 0.252 0.149 1.784 0.923 3.138 0.067 -3.999 0.080 0.960 0.021 40 NGC_886 1.0 36.0 63.0 True False
39.403 55.920 0.183 0.044 1.124 0.268 1.536 0.145 -5.327 0.125 1.419 0.035 45 Trumpler_2 1.0 38.0 55.0 True False
40.689 61.605 0.170 0.086 1.913 0.900 -1.748 0.074 2.111 0.091 0.889 0.020 148 NGC_1027 1.0 40.0 61.0 True False
49.072 60.353 0.247 0.275 1.846 0.944 -4.257 0.142 -0.991 0.177 1.613 0.050 33 Stock_23 1.0 48.0 60.0 True False
48.968 60.596 0.383 0.176 1.946 0.921 0.391 0.085 0.742 0.098 0.924 0.029 47 unknown 1.0 48.0 60.0 False True
51.868 56.426 0.094 0.059 1.717 0.867 3.822 0.178 -1.820 0.160 1.355 0.032 72 King_6 1.0 50.0 56.0 True False
51.468 60.272 0.266 0.191 1.724 0.901 -2.054 0.100 -0.560 0.158 0.875 0.038 43 unknown 1.0 50.0 60.0 False True
52.099 56.466 0.076 0.065 1.955 0.872 3.883 0.154 -1.858 0.157 1.341 0.028 62 King_6 1.0 52.0 56.0 True False
52.728 59.638 0.339 0.249 1.789 0.950 -1.897 0.096 -0.661 0.070 0.893 0.039 58 unknown 1.0 52.0 59.0 False True
57.232 52.657 0.152 0.037 1.714 0.930 -0.776 0.114 -1.811 0.060 0.844 0.024 39 NGC_1444 1.0 56.0 52.0 True False
59.430 52.524 0.369 0.184 1.996 0.969 -0.267 0.094 -1.298 0.140 0.879 0.044 62 unknown 1.0 58.0 52.0 False True
27.741 61.049 0.047 0.022 0.192 0.097 -0.853 0.133 -0.469 0.145 0.314 0.052 62 Berkeley_6 0.1 27.6 61.0 True False
27.843 61.061 0.032 0.010 0.178 0.085 -0.853 0.084 -0.466 0.085 0.301 0.038 63 Berkeley_6 0.1 27.8 61.0 True False
27.880 61.151 0.040 0.026 0.193 0.091 -1.000 0.179 -0.281 0.153 0.254 0.076 36 unknown 0.1 27.8 61.1 False True
28.123 58.641 0.041 0.016 0.195 0.093 -2.346 0.083 -0.461 0.120 0.284 0.042 70 COIN-Gaia_6 0.1 28.0 58.6 True False
28.087 61.773 0.037 0.022 0.186 0.083 -1.418 0.129 1.156 0.127 0.167 0.058 32 IC_166 0.1 28.0 61.7 True False
28.092 61.855 0.033 0.015 0.199 0.097 -1.449 0.076 1.147 0.095 0.173 0.057 352 IC_166 0.1 28.0 61.8 True False
28.085 61.848 0.028 0.013 0.173 0.063 -1.524 0.149 1.464 0.102 0.177 0.050 23 IC_166 0.1 28.0 61.8 True False
28.101 61.913 0.038 0.010 0.186 0.094 -1.445 0.076 1.179 0.092 0.183 0.057 69 IC_166 0.1 28.0 61.9 True False
28.267 61.846 0.041 0.021 0.188 0.097 -1.429 0.067 1.144 0.081 0.188 0.041 56 IC_166 0.1 28.2 61.8 True False
28.241 61.940 0.024 0.020 0.195 0.096 -1.401 0.091 1.130 0.074 0.149 0.054 28 IC_166 0.1 28.2 61.9 True False
28.539 62.364 0.022 0.015 0.175 0.090 -0.967 0.067 -0.126 0.060 0.327 0.047 65 Berkeley_7 0.1 28.4 62.3 True False
28.920 61.353 0.029 0.012 0.177 0.069 -2.020 0.056 0.412 0.092 0.229 0.043 57 Czernik_5 0.1 28.8 61.3 True False
29.498 61.847 0.024 0.018 0.179 0.091 -1.069 0.125 -0.181 0.176 0.248 0.069 24 unknown 0.1 29.4 61.8 False True
29.934 63.844 0.027 0.023 0.181 0.095 -0.263 0.064 -0.311 0.120 0.241 0.048 40 unknown 0.1 29.8 63.8 False True
30.111 61.752 0.045 0.024 0.181 0.094 -1.066 0.156 -0.215 0.056 0.310 0.079 28 unknown 0.1 30.0 61.7 False True
30.297 60.248 0.043 0.026 0.181 0.092 -1.633 0.062 -0.364 0.131 0.261 0.045 41 unknown 0.1 30.2 60.2 False True
30.520 62.840 0.023 0.014 0.140 0.093 -1.148 0.077 -0.149 0.081 0.323 0.050 40 Czernik_6 0.1 30.4 62.8 True False
30.718 64.429 0.054 0.014 0.185 0.095 -0.778 0.091 0.068 0.100 0.154 0.062 46 unknown 0.1 30.6 64.4 False True
31.868 60.257 0.034 0.011 0.182 0.090 -0.782 0.104 -0.489 0.109 0.342 0.054 63 Riddle_4 0.1 31.8 60.2 True False
33.284 63.856 0.040 0.023 0.156 0.093 -1.292 0.079 -0.837 0.086 0.335 0.039 31 unknown 0.1 33.2 63.8 False True
33.477 60.033 0.044 0.014 0.163 0.099 -0.548 0.065 -0.402 0.084 0.343 0.039 40 COIN-Gaia_35 0.1 33.4 60.0 True False
34.315 56.980 0.055 0.012 0.189 0.068 -0.793 0.141 -1.177 0.115 0.369 0.066 26 Per_OB1 0.1 34.2 56.9 True False
34.320 57.055 0.046 0.020 0.194 0.096 -0.687 0.061 -1.073 0.119 0.397 0.060 38 NGC_869,Per_OB1 0.1 34.2 57.0 True False
34.291 57.150 0.038 0.027 0.177 0.095 -0.665 0.130 -1.065 0.080 0.396 0.039 36 NGC_869,Per_OB1 0.1 34.2 57.1 True False
34.513 56.957 0.047 0.021 0.192 0.094 -0.667 0.133 -1.165 0.090 0.383 0.056 50 NGC_869,Per_OB1 0.1 34.4 56.9 True False
34.513 57.064 0.051 0.023 0.194 0.096 -0.641 0.094 -1.129 0.086 0.400 0.049 52 NGC_869,Per_OB1 0.1 34.4 57.0 True False
34.530 57.145 0.045 0.026 0.188 0.097 -0.676 0.107 -1.071 0.102 0.397 0.044 101 NGC_869,Per_OB1 0.1 34.4 57.1 True False
34.526 57.234 0.045 0.021 0.189 0.099 -0.765 0.101 -1.107 0.104 0.370 0.054 70 NGC_869,Per_OB1 0.1 34.4 57.2 True False
34.704 56.954 0.054 0.029 0.196 0.096 -0.681 0.105 -1.143 0.131 0.391 0.051 45 NGC_869,Per_OB1 0.1 34.6 56.9 True False
34.715 57.062 0.050 0.020 0.198 0.099 -0.665 0.088 -1.082 0.127 0.393 0.037 104 NGC_869,Per_OB1 0.1 34.6 57.0 True False
34.738 57.140 0.028 0.017 0.170 0.064 -0.379 0.119 -0.880 0.174 0.380 0.057 23 NGC_869,Per_OB1 0.1 34.6 57.1 True False
34.725 57.145 0.042 0.021 0.198 0.099 -0.688 0.078 -1.142 0.098 0.395 0.034 197 NGC_869,Per_OB1 0.1 34.6 57.1 True False
34.721 57.151 0.041 0.017 0.196 0.091 -0.755 0.175 -0.883 0.101 0.381 0.059 58 NGC_869,Per_OB1 0.1 34.6 57.1 True False
34.679 57.242 0.043 0.027 0.199 0.098 -0.729 0.117 -1.060 0.116 0.397 0.036 102 NGC_869,Per_OB1 0.1 34.6 57.2 True False
34.677 57.331 0.060 0.020 0.198 0.087 -0.753 0.130 -0.998 0.124 0.355 0.049 44 NGC_869,Per_OB1 0.1 34.6 57.3 True False
34.688 59.941 0.050 0.022 0.179 0.093 -0.527 0.135 -0.340 0.075 0.341 0.060 33 unknown 0.1 34.6 59.9 False True
34.912 56.969 0.050 0.014 0.191 0.097 -0.671 0.076 -1.076 0.106 0.406 0.041 45 NGC_869,Per_OB1 0.1 34.8 56.9 True False
