,clusterN,l,b,par,pmra,pmdec,l_std,b_std,par_std,pmra_std,pmdec_std,Nfound
0,0,155.70312894224872,6.905458635549524,1.0537892243624771,0.2799426623318665,-1.3617174847909306,0.04288501530225816,0.10809617494978804,0.02542089655314536,0.09084545683078443,0.0874903233949917,63
1,1,157.388806620579,0.5386562394959811,1.1389401315938807,1.6713535829947286,-4.039988484641158,0.025657785295574723,0.0491986351754404,0.024940963178426173,0.11474426902186405,0.11012526138672077,63
2,2,155.83531371308638,-2.733576429330045,0.8895154253318909,3.33989315897879,-3.750908306632768,0.06922594367256316,0.09812002206687344,0.03308509485786318,0.07814641251185353,0.07460209944401883,57
3,3,158.5774218972503,-1.5688427843738997,0.30697092913178864,0.9673063013196248,-1.9259000217513091,0.04656125462288342,0.04843409052593862,0.029016341090896493,0.12338097997024887,0.09284292600724586,56
4,4,158.0722915732018,-2.9762983827932983,0.2701385510442514,1.2997682382043407,-1.369276744751805,0.05242276088786461,0.07371283001723294,0.014339924117237429,0.1052780459045218,0.0765668708664076,56
5,5,157.74084355470663,1.4726866375019143,0.3254127230493836,0.7030704716740426,-0.13248420007217035,0.02763678056679052,0.029374699381956238,0.025796271383575417,0.07646484413763957,0.08097817453713613,55
6,6,157.06436188425153,-3.6379932505951302,0.32732758728667194,1.0589926226590929,-1.8756896269042675,0.04709273397071154,0.04433545408475077,0.03448422743787402,0.1115382857977813,0.08788876111144782,54
7,7,158.6255808362809,5.671170911769776,0.15515107131394665,0.5299802655452646,-0.4305486759481679,0.040368347769216086,0.04182166330283775,0.014538899428748881,0.06571545902312459,0.07468291461194611,54
8,8,157.50752444171312,-6.3074944306912215,0.458935734982912,3.1450953591962416,-2.2208918800443853,0.06293499881238368,0.03600035133167668,0.017431026046909284,0.07498493653302259,0.04266809532660326,54
9,9,158.598145223568,-1.5723103650243502,0.2133708035931128,1.0137122432488928,-1.9623354574949887,0.03352277095661178,0.02979858531084012,0.0228738994001232,0.10210554161700856,0.06456402180822877,54
10,10,157.3359664015339,-1.3942962713108036,0.8744795052279707,0.2869973641715049,-4.267279415882415,0.08678996264431561,0.08181417835862706,0.025315873575194638,0.1076444818795447,0.0838751892376412,54
11,11,158.03068647144727,-3.510555079206479,0.27286341373005424,-0.5328020742172694,-0.9613530118589309,0.03328992030520513,0.032438461177648016,0.0192160804936619,0.08195623243679415,0.0918760773286774,48
12,12,155.07980792451892,5.921468096386963,0.2320782679042169,-0.048601995106739786,0.5761989614547957,0.03128783140064506,0.03657551137143564,0.03203664617225428,0.1022975809553269,0.09514661951597693,47
13,13,157.48703687531548,0.4838434772975162,1.0836008966703374,1.5617018782354353,-4.038372499096616,0.03454277660953315,0.08742854891662262,0.02166177397883334,0.10044043446088614,0.09151755120376327,46
15,15,155.39863465231605,2.4197135843023596,0.3725850301895305,0.1775565697643393,0.13391596554106652,0.0317996253189444,0.04522083558919054,0.02856894937767201,0.09578178104554644,0.08168691012878845,42
17,17,186.58525547884318,2.2889314035518757,1.1231309823976592,2.4345501136869854,-3.065434015943397,0.08224898488797712,0.050130880979793416,0.012477175164915831,0.08752239727023035,0.07747304227117117,38
18,18,134.36229210794798,-2.5711470708948028,0.3924024522884209,-0.42883715604306505,-0.7304923576795987,0.04840970233117943,0.05463334231983073,0.009287467080445021,0.0567951537799198,0.07120815171952348,38
19,19,134.84453961153255,-3.6392420619745334,0.392402489485677,-0.6377344336491823,-1.0753775286607037,0.28381158274816903,0.18689542794044114,0.041545699252267976,0.1484794072164639,0.13524539947247716,38
20,20,172.25149598151827,0.6559695031245545,0.8772016424038003,1.6041405006978509,-4.4231334887940585,0.10173165507594603,0.1103545119356345,0.03342701259047113,0.11887319324076097,0.10692514501021486,38
21,21,127.33039008958895,9.277575488736597,1.1307362139898731,-1.7188792233911017,-0.13361858303068969,0.06512757305145991,0.04222945403699708,0.015049765341598059,0.07532751584513704,0.06584722652031026,37
